#F EADL97_MShellNonradiativeRates.dat
#U00 This file is a conversion to specfile format of 
#U01 directly extracted EADL97 nonradiative transition probabilities.
#U02 EADL itself can be found at:
#U03           http://www-nds.iaea.org/epdl97/libsall.htm
#U04 The code used to generate this file has been:
#U05 GenerateEADLShellNonradiativeRates.py
#U06

#S 1 M1-Shell nonradiative rates
#N 138
#L Z  TOTAL  M1-M2M2  M1-M2M3  M1-M2M4  M1-M2M5  M1-M2N1  M1-M2N2  M1-M2N3  M1-M2N4  M1-M2N5  M1-M2N6  M1-M2N7  M1-M2O1  M1-M2O2  M1-M2O3  M1-M2O4  M1-M2O5  M1-M2O6  M1-M2O7  M1-M2O8  M1-M2O9  M1-M2P1  M1-M2P2  M1-M2P3  M1-M2P4  M1-M2P5  M1-M2P6  M1-M2P7  M1-M2P8  M1-M2P9  M1-M2P10  M1-M2P11  M1-M2Q1  M1-M2Q2  M1-M2Q3  M1-M3M2  M1-M3M3  M1-M3M4  M1-M3M5  M1-M3N1  M1-M3N2  M1-M3N3  M1-M3N4  M1-M3N5  M1-M3N6  M1-M3N7  M1-M3O1  M1-M3O2  M1-M3O3  M1-M3O4  M1-M3O5  M1-M3O6  M1-M3O7  M1-M3O8  M1-M3O9  M1-M3P1  M1-M3P2  M1-M3P3  M1-M3P4  M1-M3P5  M1-M3P6  M1-M3P7  M1-M3P8  M1-M3P9  M1-M3P10  M1-M3P11  M1-M3Q1  M1-M3Q2  M1-M3Q3  M1-M4M2  M1-M4M3  M1-M4M4  M1-M4M5  M1-M4N1  M1-M4N2  M1-M4N3  M1-M4N4  M1-M4N5  M1-M4N6  M1-M4N7  M1-M4O1  M1-M4O2  M1-M4O3  M1-M4O4  M1-M4O5  M1-M4O6  M1-M4O7  M1-M4O8  M1-M4O9  M1-M4P1  M1-M4P2  M1-M4P3  M1-M4P4  M1-M4P5  M1-M4P6  M1-M4P7  M1-M4P8  M1-M4P9  M1-M4P10  M1-M4P11  M1-M4Q1  M1-M4Q2  M1-M4Q3  M1-M5M2  M1-M5M3  M1-M5M4  M1-M5M5  M1-M5N1  M1-M5N2  M1-M5N3  M1-M5N4  M1-M5N5  M1-M5N6  M1-M5N7  M1-M5O1  M1-M5O2  M1-M5O3  M1-M5O4  M1-M5O5  M1-M5O6  M1-M5O7  M1-M5O8  M1-M5O9  M1-M5P1  M1-M5P2  M1-M5P3  M1-M5P4  M1-M5P5  M1-M5P6  M1-M5P7  M1-M5P8  M1-M5P9  M1-M5P10  M1-M5P11  M1-M5Q1  M1-M5Q2  M1-M5Q3
68  9.9829539E-01  0.0  0.0  0.0  0.0  0.0  0.0  0.0  6.1263900E-02  9.2899700E-02  3.1983400E-02  4.2493400E-02  7.9631500E-03  6.6531900E-03  9.7155100E-03  0.0  0.0  0.0  0.0  0.0  0.0  5.7840600E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  6.4184900E-02  8.2815000E-02  3.5085900E-02  5.0600800E-02  9.9199300E-02  1.2360500E-01  9.0374800E-03  7.5711300E-03  9.6528300E-03  0.0  0.0  0.0  0.0  0.0  0.0  6.5888000E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  2.4459400E-02  5.4219000E-03  5.0180000E-03  7.9962900E-03  1.0020200E-02  5.0501300E-03  4.7170700E-03  2.6145900E-03  5.3946400E-04  4.6501700E-04  0.0  0.0  0.0  0.0  0.0  0.0  1.8513900E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  3.5059700E-02  1.0958900E-03  1.0380000E-02  1.0913900E-02  1.6254200E-02  5.7800000E-03  8.9457800E-03  3.7138600E-03  1.1125700E-04  9.5966500E-04  0.0  0.0  0.0  0.0  0.0  0.0  2.6303400E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
69  9.9817997E-01  0.0  0.0  0.0  0.0  0.0  0.0  0.0  5.7796400E-02  8.8528000E-02  3.3555800E-02  4.4558000E-02  7.8538400E-03  6.5687700E-03  9.4683100E-03  0.0  0.0  0.0  0.0  0.0  0.0  5.6021300E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  6.2569000E-02  7.9324600E-02  3.3084900E-02  4.7840100E-02  1.0706100E-01  1.3311500E-01  8.7467700E-03  7.3182100E-03  9.1599300E-03  0.0  0.0  0.0  0.0  0.0  0.0  6.2903300E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  2.4074100E-02  5.3376900E-03  5.0247300E-03  7.8995000E-03  9.8898900E-03  5.4672900E-03  5.0818400E-03  2.5588100E-03  5.2759700E-04  4.6095200E-04  0.0  0.0  0.0  0.0  0.0  0.0  1.7847100E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  3.4393300E-02  1.0651600E-03  1.0215900E-02  1.0803800E-02  1.6027800E-02  6.2415900E-03  9.6551100E-03  3.6310200E-03  1.0833800E-04  9.3491800E-04  0.0  0.0  0.0  0.0  0.0  0.0  2.5280100E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
70  9.9805894E-01  0.0  0.0  0.0  0.0  0.0  0.0  0.0  5.4193900E-02  8.6515600E-02  3.4826900E-02  4.6125500E-02  7.7556300E-03  6.4857000E-03  9.2314300E-03  0.0  0.0  0.0  0.0  0.0  0.0  5.4415300E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  6.1310100E-02  7.6148900E-02  3.1266300E-02  4.5370500E-02  1.1419100E-01  1.4155900E-01  8.4621100E-03  7.0748700E-03  8.6852300E-03  0.0  0.0  0.0  0.0  0.0  0.0  5.9989700E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  2.3653700E-02  5.2409100E-03  5.0176100E-03  7.7664000E-03  9.7116200E-03  5.8343300E-03  5.3965800E-03  2.4950700E-03  5.1341100E-04  4.5462600E-04  0.0  0.0  0.0  0.0  0.0  0.0  1.7147000E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  3.3777900E-02  1.0320900E-03  1.0029000E-02  1.0642100E-02  1.5738000E-02  6.6502700E-03  1.0276700E-02  3.5318600E-03  1.0484800E-04  9.0624600E-04  0.0  0.0  0.0  0.0  0.0  0.0  2.4260200E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
71  9.9785987E-01  0.0  0.0  0.0  0.0  0.0  0.0  0.0  4.0038600E-02  7.4807400E-02  3.6047000E-02  4.8038500E-02  8.1331500E-03  6.9378000E-03  9.8524000E-03  1.7365100E-04  2.2007300E-04  0.0  0.0  0.0  0.0  6.4554800E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  6.1651400E-02  7.5402400E-02  3.0360700E-02  4.4279100E-02  1.2241900E-01  1.5245600E-01  8.7295300E-03  7.4291700E-03  9.0477800E-03  8.6199800E-05  1.1863600E-04  0.0  0.0  0.0  0.0  7.0329700E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  2.4032800E-02  5.3263100E-03  5.1980300E-03  7.9319400E-03  9.9147500E-03  6.2847600E-03  5.8264900E-03  2.5994000E-03  5.4491100E-04  4.9530900E-04  2.2034600E-05  2.6331600E-05  0.0  0.0  0.0  0.0  2.0204900E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  3.4131900E-02  1.0348900E-03  1.0188200E-02  1.0878700E-02  1.6023400E-02  7.1425700E-03  1.1106800E-02  3.6720300E-03  1.1086800E-04  9.6744500E-04  3.2151900E-05  4.1437500E-05  0.0  0.0  0.0  0.0  2.8479200E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
72  9.9775916E-01  0.0  0.0  0.0  0.0  0.0  0.0  0.0  2.0773100E-02  5.6282300E-02  3.7561100E-02  5.0176900E-02  8.6672400E-03  7.5293200E-03  1.0641700E-02  4.7180200E-04  6.1064800E-04  0.0  0.0  0.0  0.0  7.2941000E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  6.2944200E-02  7.5546900E-02  2.9839200E-02  4.3812600E-02  1.3251100E-01  1.6537700E-01  9.1595000E-03  7.9242200E-03  9.5490000E-03  2.2501800E-04  3.1976700E-04  0.0  0.0  0.0  0.0  7.8333600E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  2.4749600E-02  5.4831300E-03  5.4601200E-03  8.2221900E-03  1.0269500E-02  6.8170600E-03  6.3215100E-03  2.7520200E-03  5.8730000E-04  5.4695300E-04  6.0027300E-05  7.3681300E-05  0.0  0.0  0.0  0.0  2.2644400E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  3.5135100E-02  1.0522600E-03  1.0519800E-02  1.1298200E-02  1.6586600E-02  7.7374000E-03  1.2073900E-02  3.8825800E-03  1.1935000E-04  1.0487500E-03  8.7766300E-05  1.1535800E-04  0.0  0.0  0.0  0.0  3.1863500E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
73  9.9757464E-01  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  2.5637800E-02  3.9361900E-02  5.2624800E-02  9.4411100E-03  8.3308500E-03  1.1697600E-02  8.9967700E-04  1.1763600E-03  0.0  0.0  0.0  0.0  8.1720300E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  6.5370500E-02  7.7548100E-02  2.9964800E-02  4.4371600E-02  1.4460500E-01  1.8057800E-01  9.7848000E-03  8.5920800E-03  1.0227800E-02  4.1009600E-04  5.9529600E-04  0.0  0.0  0.0  0.0  8.6369500E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  2.5978800E-02  5.7488800E-03  5.8421700E-03  8.6586800E-03  1.0800900E-02  7.4442500E-03  6.8972900E-03  2.9591600E-03  6.4146900E-04  6.1117900E-04  1.1421900E-04  1.4213700E-04  0.0  0.0  0.0  0.0  2.5042200E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  3.6897700E-02  1.0884100E-03  1.1050700E-02  1.1927100E-02  1.7455100E-02  8.4437200E-03  1.3199500E-02  4.1669900E-03  1.3011100E-04  1.1504100E-03  1.6768100E-04  2.2204500E-04  0.0  0.0  0.0  0.0  3.5157200E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
74  9.9746439E-01  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  3.9749000E-02  5.3202100E-02  9.9538800E-03  8.8877400E-03  1.2402800E-02  1.4079500E-03  1.8504800E-03  0.0  0.0  0.0  0.0  8.7926100E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  6.5751100E-02  7.6566100E-02  2.8956200E-02  4.3301400E-02  1.5289600E-01  1.9086700E-01  1.0129900E-02  9.0090700E-03  1.0572900E-02  6.1478200E-04  9.0725900E-04  0.0  0.0  0.0  0.0  9.0771100E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  2.6364800E-02  5.8405300E-03  6.0644100E-03  8.8558700E-03  1.1035000E-02  7.8733300E-03  7.2890600E-03  3.0892300E-03  6.7944200E-04  6.6197500E-04  1.7925000E-04  2.2452400E-04  0.0  0.0  0.0  0.0  2.6452300E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  3.7457900E-02  1.0915200E-03  1.1268800E-02  1.2208600E-02  1.7817000E-02  8.9308300E-03  1.3973600E-02  4.3392100E-03  1.3790100E-04  1.2232600E-03  2.6423300E-04  3.5055800E-04  0.0  0.0  0.0  0.0  3.7087100E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
75  9.9730705E-01  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  3.8891800E-02  5.2144400E-02  1.0183600E-02  9.2116400E-03  1.2742000E-02  1.9565400E-03  2.5747000E-03  0.0  0.0  0.0  0.0  8.9899000E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  6.3979600E-02  7.3614800E-02  2.7212700E-02  4.1181300E-02  1.5682900E-01  1.9558600E-01  1.0191300E-02  9.1652800E-03  1.0594000E-02  8.2045500E-04  1.2292900E-03  0.0  0.0  0.0  0.0  9.1734700E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  2.6085300E-02  5.7787600E-03  6.1392400E-03  8.8216700E-03  1.0985400E-02  8.0678400E-03  7.4617200E-03  3.1371700E-03  6.9775000E-04  6.9639100E-04  2.4972400E-04  3.1418900E-04  0.0  0.0  0.0  0.0  2.6898600E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  3.7023700E-02  1.0657100E-03  1.1185200E-02  1.2161400E-02  1.7692800E-02  9.1510000E-03  1.4322800E-02  4.3938000E-03  1.4168700E-04  1.2609600E-03  3.6918700E-04  4.8981800E-04  0.0  0.0  0.0  0.0  3.7644300E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
76  9.9718971E-01  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  3.7832100E-02  5.0777800E-02  1.0446200E-02  9.5448400E-03  1.3117500E-02  2.5719200E-03  3.3828300E-03  0.0  0.0  0.0  0.0  9.1633100E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  6.3273800E-02  7.1258200E-02  2.5697300E-02  3.9416100E-02  1.5977600E-01  1.9906100E-01  1.0254900E-02  9.3165400E-03  1.0594100E-02  1.0304300E-03  1.5692500E-03  0.0  0.0  0.0  0.0  9.1999200E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  2.5928400E-02  5.7336300E-03  6.2268800E-03  8.7825300E-03  1.0926500E-02  8.2167300E-03  7.5880300E-03  3.1800000E-03  7.1441700E-04  7.2918900E-04  3.2752700E-04  4.1379800E-04  0.0  0.0  0.0  0.0  2.7109300E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  3.6672000E-02  1.0424100E-03  1.1110900E-02  1.2115800E-02  1.7565900E-02  9.3122500E-03  1.4573700E-02  4.4395500E-03  1.4505100E-04  1.2936000E-03  4.8631200E-04  6.4347900E-04  0.0  0.0  0.0  0.0  3.7871000E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
77  9.9697014E-01  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  3.6788700E-02  4.9426200E-02  1.0578700E-02  9.7521500E-03  1.3219800E-02  3.6659800E-03  4.6811000E-03  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  6.2798900E-02  6.8972400E-02  2.4254500E-02  3.7744000E-02  1.6304000E-01  2.0293800E-01  1.0303900E-02  9.3954700E-03  1.0432700E-02  1.4090200E-03  2.1166800E-03  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  2.5891700E-02  5.6940500E-03  6.3405600E-03  8.7808200E-03  1.0911200E-02  8.4003600E-03  7.7576100E-03  3.2170800E-03  7.2743400E-04  7.5495000E-04  4.6896400E-04  5.7670000E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  3.6355800E-02  1.0231700E-03  1.1088100E-02  1.2147000E-02  1.7536600E-02  9.5286100E-03  1.4903200E-02  4.4899700E-03  1.4796800E-04  1.3120600E-03  6.9728600E-04  8.9374300E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
78  9.9679046E-01  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  3.5329100E-02  4.7529000E-02  1.0800900E-02  1.0092100E-02  1.3569100E-02  4.1764500E-03  5.4178100E-03  0.0  0.0  0.0  0.0  4.1936300E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  6.1142300E-02  6.6291700E-02  2.2761800E-02  3.6026900E-02  1.6624900E-01  2.0667300E-01  1.0369500E-02  9.5539700E-03  1.0440500E-02  1.5400500E-03  2.3900700E-03  0.0  0.0  0.0  0.0  4.1210200E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  2.5718400E-02  5.6475300E-03  6.4513400E-03  8.7679900E-03  1.0886100E-02  8.5549600E-03  7.8996200E-03  3.2714500E-03  7.4745000E-04  7.9684500E-04  5.3661300E-04  6.7148700E-04  0.0  0.0  0.0  0.0  1.2339800E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  3.6042400E-02  1.0021200E-03  1.1051500E-02  1.2131300E-02  1.7444900E-02  9.7077100E-03  1.5165800E-02  4.5535300E-03  1.5215300E-04  1.3549100E-03  7.9919100E-04  1.0379500E-03  0.0  0.0  0.0  0.0  1.7119500E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
79  9.9660200E-01  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  3.3604700E-02  4.5177600E-02  1.1030800E-02  1.0405100E-02  1.3874000E-02  4.9441800E-03  6.4038000E-03  0.0  0.0  0.0  0.0  4.2211800E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  6.0974300E-02  6.4341900E-02  2.1504800E-02  3.4682000E-02  1.6867900E-01  2.0944100E-01  1.0430700E-02  9.6868000E-03  1.0385000E-02  1.7429500E-03  2.7576100E-03  0.0  0.0  0.0  0.0  4.0747500E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  2.5674300E-02  5.6192600E-03  6.5781300E-03  8.7544900E-03  1.0852200E-02  8.6715700E-03  8.0025300E-03  3.3146200E-03  7.6376500E-04  8.3211900E-04  6.3518400E-04  7.9624300E-04  0.0  0.0  0.0  0.0  1.2272100E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  3.5923300E-02  9.8468700E-04  1.1045000E-02  1.2128300E-02  1.7382900E-02  9.8536800E-03  1.5379900E-02  4.6044600E-03  1.5592000E-04  1.3869400E-03  9.4991500E-04  1.2283900E-03  0.0  0.0  0.0  0.0  1.6983000E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
80  9.9640673E-01  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  3.1814100E-02  4.2856300E-02  1.1304500E-02  1.0769900E-02  1.4236000E-02  5.4848500E-03  7.1503900E-03  0.0  0.0  0.0  0.0  9.4619100E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  5.9058900E-02  6.1870400E-02  2.0179500E-02  3.3219400E-02  1.7183800E-01  2.1303300E-01  1.0477100E-02  9.8263700E-03  1.0359000E-02  1.8545500E-03  3.0231300E-03  0.0  0.0  0.0  0.0  9.0369100E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  2.5565100E-02  5.5916800E-03  6.7171100E-03  8.7598100E-03  1.0843700E-02  8.8134800E-03  8.1324800E-03  3.3747600E-03  7.8317300E-04  8.7809800E-04  7.0529900E-04  8.9385400E-04  0.0  0.0  0.0  0.0  2.7334700E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  3.5693900E-02  9.6668400E-04  1.1040800E-02  1.2113000E-02  1.7297800E-02  1.0020500E-02  1.5609100E-02  4.6662600E-03  1.6043200E-04  1.4312700E-03  1.0579400E-03  1.3776100E-03  0.0  0.0  0.0  0.0  3.7781600E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
81  9.9626486E-01  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  2.9984600E-02  4.0423500E-02  1.1636600E-02  1.1153600E-02  1.4623200E-02  6.0556600E-03  7.9694500E-03  0.0  0.0  0.0  0.0  1.1535800E-03  9.4570800E-05  9.6105600E-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  5.7711400E-02  6.0212300E-02  1.9058600E-02  3.2090200E-02  1.7400600E-01  2.1552500E-01  1.0577800E-02  1.0005800E-02  1.0363600E-02  1.9636300E-03  3.3057000E-03  0.0  0.0  0.0  0.0  1.0742000E-03  8.7866900E-05  7.1238700E-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  2.5516500E-02  5.5689400E-03  6.8676900E-03  8.7619000E-03  1.0828000E-02  8.9210500E-03  8.2341900E-03  3.4301300E-03  8.0319300E-04  9.2461100E-04  7.8111800E-04  1.0017500E-03  0.0  0.0  0.0  0.0  3.2742900E-04  6.8445100E-06  6.1464100E-06  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  3.5711400E-02  9.5200100E-04  1.1063000E-02  1.2135500E-02  1.7260300E-02  1.0159700E-02  1.5795800E-02  4.7312200E-03  1.6526100E-04  1.4765400E-03  1.1763000E-03  1.5406700E-03  0.0  0.0  0.0  0.0  4.5162200E-04  1.5366600E-06  9.7773900E-06  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
82  9.9605417E-01  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  2.7873700E-02  3.7518200E-02  1.1828100E-02  1.1493200E-02  1.4962600E-02  6.5859100E-03  8.6935200E-03  0.0  0.0  0.0  0.0  1.3206900E-03  2.5420800E-04  2.6933700E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  5.6398300E-02  5.8024900E-02  1.7900500E-02  3.0916200E-02  1.7687000E-01  2.1851800E-01  1.0646800E-02  1.0165000E-02  1.0348200E-02  2.0513200E-03  3.5530600E-03  0.0  0.0  0.0  0.0  1.2169600E-03  2.3326700E-04  1.9538800E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  2.5539900E-02  5.5557100E-03  7.0294400E-03  8.7695600E-03  1.0808300E-02  9.0474900E-03  8.3590300E-03  3.4905700E-03  8.2482700E-04  9.7711000E-04  8.5287400E-04  1.1014100E-03  0.0  0.0  0.0  0.0  3.7439200E-04  1.8455700E-05  1.7624400E-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  3.5546400E-02  9.3673300E-04  1.1103800E-02  1.2148900E-02  1.7221800E-02  1.0335000E-02  1.6032000E-02  4.8075300E-03  1.7028000E-04  1.5262100E-03  1.2855900E-03  1.6888900E-03  0.0  0.0  0.0  0.0  5.1469800E-04  4.0244500E-06  2.7616700E-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
83  9.9583377E-01  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  2.5480200E-02  3.4296700E-02  1.2104800E-02  1.1875300E-02  1.5341300E-02  7.0807700E-03  9.3723600E-03  0.0  0.0  0.0  0.0  1.4926300E-03  4.7436700E-04  5.1218700E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  5.5849200E-02  5.5828600E-02  1.6802900E-02  2.9803200E-02  1.7945700E-01  2.2120000E-01  1.0742200E-02  1.0340900E-02  1.0320300E-02  2.1242900E-03  3.7784800E-03  0.0  0.0  0.0  0.0  1.3439800E-03  4.2080700E-04  3.5193900E-04  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  2.5514500E-02  5.5352300E-03  7.2018800E-03  8.7859400E-03  1.0804000E-02  9.1805100E-03  8.4906500E-03  3.5555200E-03  8.4683700E-04  1.0315500E-03  9.2124800E-04  1.1939900E-03  0.0  0.0  0.0  0.0  4.1832800E-04  3.4089500E-05  3.4227900E-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  3.5458400E-02  9.2295000E-04  1.1149700E-02  1.2164100E-02  1.7168600E-02  1.0510100E-02  1.6259100E-02  4.8795900E-03  1.7569700E-04  1.5790100E-03  1.3906400E-03  1.8288900E-03  0.0  0.0  0.0  0.0  5.7403600E-04  7.4533000E-06  5.2447300E-05  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0
