#F EADL97_KShellNonradiativeRates.dat
#U00 This file is a conversion to specfile format of 
#U01 directly extracted EADL97 nonradiative transition probabilities.
#U02 EADL itself can be found at:
#U03           http://www-nds.iaea.org/epdl97/libsall.htm
#U04 The code used to generate this file has been:
#U05 GenerateEADLShellNonradiativeRates.py
#U06

#S 1 K-Shell nonradiative rates
#N 66
#L Z  TOTAL  K-L1L1  K-L1L2  K-L1L3  K-L1M1  K-L1M2  K-L1M3  K-L1M4  K-L1M5  K-L2L1  K-L2L2  K-L2L3  K-L2M1  K-L2M2  K-L2M3  K-L2M4  K-L2M5  K-L3L1  K-L3L2  K-L3L3  K-L3M1  K-L3M2  K-L3M3  K-L3M4  K-L3M5  K-M1L1  K-M1L2  K-M1L3  K-M1M1  K-M1M2  K-M1M3  K-M1M4  K-M1M5  K-M2L1  K-M2L2  K-M2L3  K-M2M1  K-M2M2  K-M2M3  K-M2M4  K-M2M5  K-M3L1  K-M3L2  K-M3L3  K-M3M1  K-M3M2  K-M3M3  K-M3M4  K-M3M5  K-M4L1  K-M4L2  K-M4L3  K-M4M1  K-M4M2  K-M4M3  K-M4M4  K-M4M5  K-M5L1  K-M5L2  K-M5L3  K-M5M1  K-M5M2  K-M5M3  K-M5M4  K-M5M5
11  9.8001454E-01  8.7055200E-02  8.9002100E-02  1.7505200E-01  5.7382500E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4629600E-02  3.8236900E-01  2.6993200E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.1816500E-01  5.3040700E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
12  9.7230741E-01  8.2314500E-02  8.6082100E-02  1.6883800E-01  1.2614300E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4497500E-02  3.7550800E-01  5.9932300E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.1421300E-01  1.1765700E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.8107800E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
13  9.6285213E-01  7.8394400E-02  8.3218000E-02  1.6272500E-01  1.3588400E-02  8.9679400E-04  1.7648500E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4292000E-02  3.6694200E-01  6.4929400E-03  3.0131800E-04  3.6588300E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.0922600E-01  1.2706300E-02  3.6518900E-03  4.2042100E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.8113900E-04  7.1744000E-05  1.3631100E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
14  9.5150181E-01  7.4795400E-02  8.0121400E-02  1.5613100E-01  1.4112400E-02  1.9558400E-03  3.8158500E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.3990500E-02  3.5640800E-01  6.7623100E-03  6.6473200E-04  7.9767500E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.0310400E-01  1.3198200E-02  7.9640700E-03  9.1654700E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.6474800E-04  1.6618500E-04  3.2597500E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.3919900E-06  1.0866900E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.3918500E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
15  9.3814980E-01  7.1284500E-02  7.7009000E-02  1.4953400E-01  1.4297100E-02  3.0927700E-03  6.0017000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.3578900E-02  3.4446800E-01  6.8755200E-03  1.0520400E-03  1.2515200E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.9605500E-01  1.3371300E-02  1.2504300E-02  1.4389200E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.1283300E-04  2.7593800E-04  5.3462600E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.7245900E-05  3.6792300E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.1270000E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
16  9.2270821E-01  6.7996100E-02  7.3968400E-02  1.4306900E-01  1.4281900E-02  4.2328300E-03  8.1742500E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.3147200E-02  3.3109900E-01  6.8621600E-03  1.4526600E-03  1.7061800E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.8823600E-01  1.3286900E-02  1.7045700E-02  1.9602700E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.4454500E-04  3.9570300E-04  7.6016700E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.6444500E-05  7.9659200E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.5816300E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
17  9.0513061E-01  6.4745400E-02  7.0743000E-02  1.3624500E-01  1.4093000E-02  5.3445300E-03  1.0272100E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.2668500E-02  3.1721200E-01  6.7693000E-03  1.8414400E-03  2.1443200E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.8010700E-01  1.3055000E-02  2.1440100E-02  2.4620700E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.5742900E-04  5.1127600E-04  9.8942100E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.1538200E-05  1.4011800E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.0949900E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
18  8.8541066E-01  6.1684400E-02  6.7598700E-02  1.2958600E-01  1.3782900E-02  6.3943600E-03  1.2222200E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.2148900E-02  3.0256100E-01  6.6146600E-03  2.2033800E-03  2.5500000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.7156300E-01  1.2706900E-02  2.5502600E-02  2.9245700E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.6471300E-04  6.2646900E-04  1.2010000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.9368500E-05  2.1601200E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.2442900E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
19  8.6358066E-01  5.8963000E-02  6.4800900E-02  1.2362600E-01  1.4107000E-02  6.8927600E-03  1.3123300E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.1678800E-02  2.8964500E-01  6.7538600E-03  2.3808400E-03  2.7285100E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.6393500E-01  1.2919900E-02  2.7261300E-02  3.1263700E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.3329500E-04  7.2218800E-04  1.3769800E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.1904600E-04  2.5832300E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4920400E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
20  8.3972148E-01  5.6348500E-02  6.2053100E-02  1.1776200E-01  1.4282400E-02  7.2329000E-03  1.3703400E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.1222300E-02  2.7684100E-01  6.8275700E-03  2.4949800E-03  2.8428200E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.5641600E-01  1.2993400E-02  2.8383900E-02  3.2541200E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.7217500E-04  7.7961600E-04  1.4773300E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.3515700E-04  2.9334400E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.6949500E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
21  8.1395828E-01  5.4463700E-02  6.0078300E-02  1.1338500E-01  1.4048200E-02  7.1974800E-03  1.3547300E-02  2.3843100E-05  3.4063700E-05  0.0000000E+00  1.0876900E-02  2.6703600E-01  6.7002800E-03  2.4798200E-03  2.8078900E-02  3.4064400E-05  1.2943600E-04  0.0000000E+00  0.0000000E+00  1.5057600E-01  1.2682500E-02  2.8036600E-02  3.2089500E-02  1.6349800E-04  1.6349800E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.9587600E-04  8.0731000E-04  1.5192500E-03  3.4064500E-06  3.4064500E-06  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.3625700E-04  2.9670600E-03  3.4064400E-06  1.0219800E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.7099500E-03  1.3625500E-05  1.3625500E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
