#F EADL97_KShellNonradiativeRates.dat
#U00 This file is a conversion to specfile format of 
#U01 directly extracted EADL97 nonradiative transition probabilities.
#U02 EADL itself can be found at:
#U03           http://www-nds.iaea.org/epdl97/libsall.htm
#U04 The code used to generate this file has been:
#U05 GenerateEADLShellNonradiativeRates.py
#U06

#S 1 K-Shell nonradiative rates
#N 66
#L Z  TOTAL  K-L1L1  K-L1L2  K-L1L3  K-L1M1  K-L1M2  K-L1M3  K-L1M4  K-L1M5  K-L2L1  K-L2L2  K-L2L3  K-L2M1  K-L2M2  K-L2M3  K-L2M4  K-L2M5  K-L3L1  K-L3L2  K-L3L3  K-L3M1  K-L3M2  K-L3M3  K-L3M4  K-L3M5  K-M1L1  K-M1L2  K-M1L3  K-M1M1  K-M1M2  K-M1M3  K-M1M4  K-M1M5  K-M2L1  K-M2L2  K-M2L3  K-M2M1  K-M2M2  K-M2M3  K-M2M4  K-M2M5  K-M3L1  K-M3L2  K-M3L3  K-M3M1  K-M3M2  K-M3M3  K-M3M4  K-M3M5  K-M4L1  K-M4L2  K-M4L3  K-M4M1  K-M4M2  K-M4M3  K-M4M4  K-M4M5  K-M5L1  K-M5L2  K-M5L3  K-M5M1  K-M5M2  K-M5M3  K-M5M4  K-M5M5
22  7.8645759E-01  5.2566400E-02  5.8094200E-02  1.0898000E-01  1.3731800E-02  7.1043300E-03  1.3289100E-02  5.4061000E-05  7.6322100E-05  0.0000000E+00  1.0513700E-02  2.5694000E-01  6.5414400E-03  2.4454400E-03  2.7469700E-02  7.6322500E-05  2.8304000E-04  0.0000000E+00  0.0000000E+00  1.4459700E-01  1.2309600E-02  2.7436000E-02  3.1352800E-02  3.5299700E-04  3.4981500E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8722300E-04  8.0456100E-04  1.5073800E-03  6.3601400E-06  9.5398600E-06  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.3674700E-04  2.9542800E-03  6.3602000E-06  2.5441300E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.7012900E-03  3.1800400E-05  3.1800400E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
23  7.5743444E-01  5.0665200E-02  5.6044100E-02  1.0447800E-01  1.3360600E-02  6.9639100E-03  1.2936000E-02  8.6121100E-05  1.2175200E-04  0.0000000E+00  1.0137700E-02  2.4652900E-01  6.3489100E-03  2.3905400E-03  2.6702300E-02  1.1878200E-04  4.5137500E-04  0.0000000E+00  0.0000000E+00  1.3845200E-01  1.1878200E-02  2.6675200E-02  3.0426000E-02  5.5828600E-04  5.5531800E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.7016700E-04  7.9291200E-04  1.4759500E-03  8.9092400E-06  1.1878800E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.3660700E-04  2.9103200E-03  8.9092000E-06  4.1575600E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.6719500E-03  5.0482500E-05  5.0482500E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
24  7.2713307E-01  4.8963700E-02  5.4276900E-02  1.0049600E-01  1.2780500E-02  6.6591000E-03  1.2264700E-02  1.3100500E-04  1.8396400E-04  0.0000000E+00  9.8142500E-03  2.3747300E-01  6.0738600E-03  2.2773200E-03  2.5270400E-02  1.8396600E-04  6.9129300E-04  0.0000000E+00  0.0000000E+00  1.3307800E-01  1.1289000E-02  2.5274000E-02  2.8738300E-02  8.5857600E-04  8.4739200E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.7571000E-04  7.9288500E-04  1.4674900E-03  1.4792800E-05  2.0709700E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.3559400E-04  2.8652400E-03  1.7685900E-05  6.4850400E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.6974600E-03  8.2289700E-05  8.2289700E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.7875000E-06  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
25  6.9580932E-01  4.6713800E-02  5.1791600E-02  9.5220700E-02  1.2482100E-02  6.5950600E-03  1.2061400E-02  1.5246600E-04  2.1191200E-04  0.0000000E+00  9.3368600E-03  2.2494800E-01  5.9152600E-03  2.2457300E-03  2.4782800E-02  2.1190900E-04  7.9335200E-04  0.0000000E+00  0.0000000E+00  1.2573600E-01  1.0918900E-02  2.4771800E-02  2.8128900E-02  9.8451000E-04  9.7163500E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.2438600E-04  7.5718300E-04  1.3876900E-03  1.5505400E-05  2.3258500E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.3040000E-04  2.7750000E-03  1.8256400E-05  7.3023200E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.6166500E-03  9.2908500E-05  9.0256800E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.5842900E-06  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
26  6.6375773E-01  4.4703900E-02  4.9630900E-02  9.0552800E-02  1.2001000E-02  6.3786100E-03  1.1570000E-02  1.8533500E-04  2.5754600E-04  0.0000000E+00  8.9104500E-03  2.1381900E-01  5.6804000E-03  2.1590900E-03  2.3691100E-02  2.5754000E-04  9.6038500E-04  0.0000000E+00  0.0000000E+00  1.1920700E-01  1.0408500E-02  2.3689300E-02  2.6835300E-02  1.1938900E-03  1.1746300E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.0227700E-04  7.3926300E-04  1.3452500E-03  1.9391400E-05  2.6662900E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.2814400E-04  2.7106200E-03  2.2177600E-05  8.8708100E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.5865500E-03  1.1622300E-04  1.1116700E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.8585800E-06  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
27  6.3127318E-01  4.2712400E-02  4.7427300E-02  8.5840600E-02  1.1507000E-02  6.1432600E-03  1.1044300E-02  2.1715600E-04  2.9776800E-04  0.0000000E+00  8.4806100E-03  2.0259800E-01  5.4359100E-03  2.0686800E-03  2.2565900E-02  2.9999700E-04  1.1171500E-03  0.0000000E+00  0.0000000E+00  1.1264200E-01  9.8802100E-03  2.2572100E-02  2.5500600E-02  1.3881500E-03  1.3612000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.8103500E-04  7.2169700E-04  1.3017100E-03  2.2838600E-05  3.1973400E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.2608700E-04  2.6431900E-03  2.8019400E-05  1.0740300E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.5544200E-03  1.3736100E-04  1.3254500E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.5548400E-06  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.3596000E-06
28  5.9865508E-01  4.0678800E-02  4.5181800E-02  8.1099900E-02  1.0992000E-02  5.8941500E-03  1.0496800E-02  2.4524400E-04  3.3668000E-04  0.0000000E+00  8.0532600E-03  1.9146400E-01  5.1855200E-03  1.9702800E-03  2.1408600E-02  3.4084300E-04  1.2595100E-03  0.0000000E+00  0.0000000E+00  1.0618100E-01  9.3464700E-03  2.1423800E-02  2.4133400E-02  1.5628600E-03  1.5296500E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.6102900E-04  7.0493300E-04  1.2590200E-03  2.8026000E-05  3.6649300E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.2441200E-04  2.5816000E-03  3.1103800E-05  1.2441200E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.5206700E-03  1.6127400E-04  1.5436000E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.6338500E-06  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.1360400E-06
29  5.6618860E-01  3.8856700E-02  4.3190800E-02  7.6838300E-02  1.0407300E-02  5.5745800E-03  9.8248600E-03  2.8067200E-04  3.8130900E-04  0.0000000E+00  7.6578100E-03  1.8119100E-01  4.9029100E-03  1.8504400E-03  1.9982600E-02  3.8907100E-04  1.4323500E-03  0.0000000E+00  0.0000000E+00  1.0019400E-01  8.7610800E-03  2.0020100E-02  2.2468400E-02  1.7788600E-03  1.7342900E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.6270300E-04  7.0483000E-04  1.2447000E-03  3.2136200E-05  4.4990500E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.2055700E-04  2.5230900E-03  3.7264500E-05  1.4685900E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.5204600E-03  1.9619200E-04  1.8685500E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.1070700E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.1241700E-06
30  5.3412769E-01  3.6720200E-02  4.0826300E-02  7.1952000E-02  9.9699100E-03  5.3873800E-03  9.4041200E-03  2.9622100E-04  3.9971100E-04  0.0000000E+00  7.1874000E-03  1.6942300E-01  4.6879200E-03  1.7737200E-03  1.9064900E-02  4.0865100E-04  1.5025200E-03  0.0000000E+00  0.0000000E+00  9.3392300E-02  8.2976700E-03  1.9093400E-02  2.1383800E-02  1.8647400E-03  1.8148200E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.2392600E-04  6.7550700E-04  1.1826500E-03  3.4839400E-05  4.6452800E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.1749800E-04  2.4197400E-03  3.9831200E-05  1.5334600E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4546700E-03  2.0568800E-04  1.9508800E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.3490300E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.3784900E-06
31  5.0271410E-01  3.4597900E-02  3.8522100E-02  6.7227900E-02  9.5345500E-03  5.2032300E-03  8.9964100E-03  3.0869100E-04  4.1377000E-04  0.0000000E+00  6.7259700E-03  1.5796400E-01  4.4809700E-03  1.6962000E-03  1.8151000E-02  4.2363000E-04  1.5549900E-03  0.0000000E+00  0.0000000E+00  8.6794000E-02  7.8531200E-03  1.8163600E-02  2.0302200E-02  1.9259500E-03  1.8733500E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.9590600E-04  6.5362100E-04  1.1329200E-03  3.5237300E-05  4.7570000E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.1205900E-04  2.3206800E-03  4.1570200E-05  1.6085800E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.3817100E-03  2.1182300E-04  2.0228500E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.3892400E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.6236700E-06
32  4.7216413E-01  3.2547100E-02  3.6260100E-02  6.2627300E-02  9.1097100E-03  5.0139600E-03  8.5819500E-03  3.1667200E-04  4.2071800E-04  0.0000000E+00  6.2804900E-03  1.4684200E-01  4.2749100E-03  1.6195400E-03  1.7248200E-02  4.3277100E-04  1.5833200E-03  0.0000000E+00  0.0000000E+00  8.0432300E-02  7.4131800E-03  1.7249100E-02  1.9239100E-02  1.9572700E-03  1.8999700E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.6425600E-04  6.2763700E-04  1.0784200E-03  3.6637900E-05  4.7787800E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.0814300E-04  2.2235500E-03  4.2602200E-05  1.6385400E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.3026200E-03  2.1312900E-04  2.0289100E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.3825000E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.5151900E-06
33  4.4263384E-01  3.0537000E-02  3.4041600E-02  5.8156900E-02  8.6824500E-03  4.8185800E-03  8.1615200E-03  3.2059800E-04  4.2286500E-04  0.0000000E+00  5.8551200E-03  1.3622200E-01  4.0697700E-03  1.5394400E-03  1.6351000E-02  4.3530900E-04  1.5892200E-03  0.0000000E+00  0.0000000E+00  7.4381600E-02  6.9831400E-03  1.6338800E-02  1.8185600E-02  1.9609400E-03  1.9001200E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.3407500E-04  6.0384300E-04  1.0237100E-03  3.7382200E-05  4.8882800E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.0344400E-04  2.1176900E-03  4.4334400E-05  1.6551400E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.2234200E-03  2.1275300E-04  2.0212100E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.5201700E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.1457300E-06
34  4.1429373E-01  2.8624000E-02  3.1935300E-02  5.3944900E-02  8.2675100E-03  4.6241100E-03  7.7475400E-03  3.2006700E-04  4.2126500E-04  0.0000000E+00  5.4409100E-03  1.2605200E-01  3.8725300E-03  1.4612100E-03  1.5456200E-02  4.3393200E-04  1.5801200E-03  0.0000000E+00  0.0000000E+00  6.8591100E-02  6.5660400E-03  1.5432500E-02  1.7139300E-02  1.9470900E-03  1.8839000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.0599600E-04  5.7999600E-04  9.7402700E-04  3.7711500E-05  4.8114700E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.8171700E-05  2.0045700E-03  4.3781300E-05  1.6450200E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.1473800E-03  2.0998800E-04  1.9914500E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.6446600E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.7953000E-06
35  3.8722303E-01  2.6797400E-02  2.9930600E-02  4.9964500E-02  7.8607500E-03  4.4290900E-03  7.3379000E-03  3.1808900E-04  4.1527400E-04  0.0000000E+00  5.0468700E-03  1.1641800E-01  3.6783500E-03  1.3822700E-03  1.4572400E-02  4.2913600E-04  1.5569600E-03  0.0000000E+00  0.0000000E+00  6.3122300E-02  6.1616800E-03  1.4536400E-02  1.6108000E-02  1.9154600E-03  1.8506900E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.7906900E-04  5.5788600E-04  9.2509000E-04  3.7661400E-05  4.8250600E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.3102800E-05  1.8979200E-03  4.2973300E-05  1.6233700E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.0781200E-03  2.0592900E-04  1.9502700E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.7351800E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.6268900E-06
36  3.6152170E-01  2.5064900E-02  2.8031000E-02  4.6220000E-02  7.4643200E-03  4.2359900E-03  6.9337200E-03  3.1382100E-04  4.0574600E-04  0.0000000E+00  4.6729300E-03  1.0735200E-01  3.4908000E-03  1.3048600E-03  1.3705000E-02  4.2052500E-04  1.5236100E-03  0.0000000E+00  0.0000000E+00  5.7997500E-02  5.7733300E-03  1.3659900E-02  1.5101600E-02  1.8712700E-03  1.8036000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.5439500E-04  5.3733200E-04  8.8027800E-04  3.7388400E-05  4.7006800E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8305100E-05  1.7972800E-03  4.1995300E-05  1.5938000E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.0043900E-03  1.9937000E-04  1.8859200E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.7961500E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.3446900E-06
37  3.3721552E-01  2.3440400E-02  2.6252100E-02  4.2734800E-02  7.0838900E-03  4.0492100E-03  6.5467500E-03  3.0783100E-04  3.9467500E-04  0.0000000E+00  4.3261200E-03  9.8953600E-02  3.3138100E-03  1.2313000E-03  1.2879000E-02  4.1109600E-04  1.4832100E-03  0.0000000E+00  0.0000000E+00  5.3256000E-02  5.4054800E-03  1.2822700E-02  1.4143900E-02  1.8188700E-03  1.7494100E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.2993900E-04  5.1738500E-04  8.3614400E-04  3.6815600E-05  4.6504200E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.5026500E-05  1.7093300E-03  4.2028200E-05  1.5637100E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.4064300E-04  1.9295100E-04  1.8234200E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.8333500E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.1412600E-06
38  3.1432675E-01  2.1916400E-02  2.4590000E-02  3.9491700E-02  6.7203500E-03  3.8674800E-03  6.1724800E-03  3.0046500E-04  3.8240200E-04  0.0000000E+00  4.0026800E-03  9.1141300E-02  3.1435400E-03  1.1594900E-03  1.2084000E-02  4.0001600E-04  1.4361200E-03  0.0000000E+00  0.0000000E+00  4.8869100E-02  5.0576500E-03  1.2021100E-02  1.3229300E-02  1.7587400E-03  1.6891500E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.0845300E-04  4.9873000E-04  7.9478300E-04  3.6125800E-05  4.4937900E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.0028200E-05  1.6093500E-03  4.1331100E-05  1.5126200E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8401300E-04  1.8757700E-04  1.7628500E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.8503100E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.5942000E-06
39  2.9288090E-01  2.0501600E-02  2.3049800E-02  3.6498500E-02  6.3728600E-03  3.6925400E-03  5.8157300E-03  2.9307100E-04  3.6957600E-04  0.0000000E+00  3.7106400E-03  8.4067300E-02  2.9850200E-03  1.0902300E-03  1.1339200E-02  3.8650200E-04  1.3841300E-03  0.0000000E+00  0.0000000E+00  4.4905100E-02  4.7312500E-03  1.1266100E-02  1.2369000E-02  1.6924800E-03  1.6207700E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.8872900E-04  4.8229200E-04  7.5845600E-04  3.5428400E-05  4.4283000E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.5899100E-05  1.5259300E-03  3.9944800E-05  1.4780900E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.4294500E-04  1.8449500E-04  1.7257000E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.8518900E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.9211600E-06
40  2.7281990E-01  1.9216000E-02  2.1629400E-02  3.3758200E-02  6.0493400E-03  3.5248500E-03  5.4752500E-03  2.8421400E-04  3.5565500E-04  0.0000000E+00  3.4364200E-03  7.7481800E-02  2.8326300E-03  1.0256500E-03  1.0630600E-02  3.7259700E-04  1.3298000E-03  0.0000000E+00  0.0000000E+00  4.1230000E-02  4.4229500E-03  1.0552800E-02  1.1555900E-02  1.6235800E-03  1.5506700E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.6977200E-04  4.6535100E-04  7.2160500E-04  3.4608000E-05  4.2706300E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.2166800E-05  1.4505800E-03  3.9363900E-05  1.4360300E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.0307700E-04  1.8016400E-04  1.6776900E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.8408100E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.5990600E-06
41  2.5411955E-01  1.8021900E-02  2.0340700E-02  3.1270600E-02  5.7445300E-03  3.3689000E-03  5.1592500E-03  2.7511500E-04  3.4121400E-04  0.0000000E+00  3.1862200E-03  7.1508700E-02  2.6944700E-03  9.6428200E-04  9.9636400E-03  3.5875400E-04  1.2751700E-03  0.0000000E+00  0.0000000E+00  3.7896000E-02  4.1398100E-03  9.8790400E-03  1.0791600E-02  1.5543900E-03  1.4815800E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.5112800E-04  4.4977300E-04  6.8715500E-04  3.4388100E-05  4.1808800E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.9784800E-05  1.3870800E-03  3.8248200E-05  1.3956900E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.6941000E-04  1.7667600E-04  1.6454500E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.8207300E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.8548800E-06
42  2.3673977E-01  1.6898600E-02  1.9130300E-02  2.8951200E-02  5.4508800E-03  3.2184200E-03  4.8545500E-03  2.6543100E-04  3.2589700E-04  0.0000000E+00  2.9509500E-03  6.5941200E-02  2.5622200E-03  9.0612600E-04  9.3246900E-03  3.4442800E-04  1.2190500E-03  0.0000000E+00  0.0000000E+00  3.4800300E-02  3.8708500E-03  9.2353400E-03  1.0061700E-02  1.4838400E-03  1.4103700E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.3331400E-04  4.3454300E-04  6.5305300E-04  3.3333900E-05  4.0121200E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.6661900E-05  1.3227100E-03  3.7651900E-05  1.3579100E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.2896400E-04  1.7097900E-04  1.5863600E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.7899800E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.4362900E-06
43  2.2062148E-01  1.5858400E-02  1.8012200E-02  2.6820900E-02  5.1737500E-03  3.0747700E-03  4.5675600E-03  2.5557000E-04  3.1099000E-04  0.0000000E+00  2.7350500E-03  6.0836000E-02  2.4380800E-03  8.5040200E-04  8.7237400E-03  3.2965500E-04  1.1630500E-03  0.0000000E+00  0.0000000E+00  3.1969900E-02  3.6192600E-03  8.6303500E-03  9.3792100E-03  1.4129600E-03  1.3400400E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.1616000E-04  4.1953400E-04  6.2027700E-04  3.2229000E-05  3.8447800E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.3327800E-05  1.2541300E-03  3.6188200E-05  1.3118500E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.8924500E-04  1.6509900E-04  1.5265800E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.7527700E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.5692000E-06
