#F EADL97_KShellRadiativeRates.dat
#U00 This file is a conversion to specfile format of 
#U01 directly extracted EADL97 radiative transition probabilities.
#U02 EADL itself can be found at:
#U03           http://www-nds.iaea.org/epdl97/libsall.htm
#U04 The code used to generate this file has been:
#U05 GenerateEADLShellRadiativeRates.py
#U06

#S 1 K emission rates
#N 40
#L Z  TOTAL  KL1  KL2  KL3  KM1  KM2  KM3  KM4  KM5  KN1  KN2  KN3  KN4  KN5  KN6  KN7  KO1  KO2  KO3  KO4  KO5  KO6  KO7  KO8  KO9  KP1  KP2  KP3  KP4  KP5  KP6  KP7  KP8  KP9  KP10  KP11  KQ1  KQ2  KQ3
31  4.9728652E-01  0.0000000E+00  1.4978000E-01  2.9120000E-01  0.0000000E+00  1.8930000E-02  3.6989000E-02  3.0089000E-05  4.3460000E-05  0.0000000E+00  1.0799000E-04  2.0598000E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
32  5.2783573E-01  0.0000000E+00  1.5853900E-01  3.0769900E-01  0.0000000E+00  2.0492900E-02  4.0037800E-02  3.7628800E-05  5.4277800E-05  0.0000000E+00  3.3422900E-04  6.4089700E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
33  5.5736615E-01  0.0000000E+00  1.6689000E-01  3.2325100E-01  0.0000000E+00  2.2059000E-02  4.3089100E-02  4.6141100E-05  6.6447100E-05  0.0000000E+00  6.7216200E-04  1.2923000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
34  5.8570699E-01  0.0000000E+00  1.7470100E-01  3.3794200E-01  0.0000000E+00  2.3600100E-02  4.6055200E-02  5.5597300E-05  7.9968400E-05  0.0000000E+00  1.1190100E-03  2.1541100E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
35  6.1277633E-01  0.0000000E+00  1.8207200E-01  3.5153400E-01  0.0000000E+00  2.5113300E-02  4.8999600E-02  6.6044800E-05  9.4821200E-05  0.0000000E+00  1.6743200E-03  3.2222400E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
36  6.3847904E-01  0.0000000E+00  1.8886900E-01  3.6419900E-01  0.0000000E+00  2.6572900E-02  5.1822800E-02  7.7472700E-05  1.1100000E-04  0.0000000E+00  2.3349900E-03  4.4918800E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
37  6.6278454E-01  0.0000000E+00  1.9530900E-01  3.7573700E-01  0.0000000E+00  2.8002800E-02  5.4586600E-02  8.9957300E-05  1.2863900E-04  0.0000000E+00  3.0509800E-03  5.8795600E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
38  6.8567285E-01  0.0000000E+00  2.0126200E-01  3.8645500E-01  0.0000000E+00  2.9372400E-02  5.7251700E-02  1.0347100E-04  1.4764200E-04  0.0000000E+00  3.8054500E-03  7.2751900E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
39  7.0711895E-01  0.0000000E+00  2.0680800E-01  3.9625600E-01  0.0000000E+00  3.0703700E-02  5.9823400E-02  1.1790900E-04  1.6788800E-04  0.0000000E+00  4.5263600E-03  8.7140100E-03  6.9574300E-07  9.8307000E-07  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
40  7.2718047E-01  0.0000000E+00  2.1187100E-01  4.0545100E-01  0.0000000E+00  3.1975100E-02  6.2264200E-02  1.3329000E-04  1.8933000E-04  0.0000000E+00  5.2360100E-03  1.0056000E-02  1.8826000E-06  2.6563100E-06  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
41  7.4588091E-01  0.0000000E+00  2.1674000E-01  4.1388900E-01  0.0000000E+00  3.3181900E-02  6.4614900E-02  1.4962000E-04  2.1201000E-04  0.0000000E+00  5.8661900E-03  1.1217000E-02  4.2858900E-06  6.0076900E-06  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
42  7.6325992E-01  0.0000000E+00  2.2130900E-01  4.2171800E-01  0.0000000E+00  3.4358900E-02  6.6887700E-02  1.6691900E-04  2.3603900E-04  0.0000000E+00  6.3413700E-03  1.2225900E-02  6.7082700E-06  9.3854600E-06  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
43  7.7937805E-01  0.0000000E+00  2.2557100E-01  4.2885200E-01  0.0000000E+00  3.5467200E-02  6.9025400E-02  1.8502100E-04  2.6114100E-04  0.0000000E+00  6.8427400E-03  1.3150100E-02  9.7892500E-06  1.3661100E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
44  7.9430177E-01  0.0000000E+00  2.2959900E-01  4.3559800E-01  0.0000000E+00  3.6551800E-02  7.1088600E-02  2.0418900E-04  2.8728900E-04  0.0000000E+00  7.1584600E-03  1.3781900E-02  1.3605900E-05  1.8926900E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
45  8.0808939E-01  0.0000000E+00  2.3332000E-01  4.4168900E-01  0.0000000E+00  3.7561900E-02  7.3037900E-02  2.2413000E-04  3.1459900E-04  0.0000000E+00  7.4703900E-03  1.4428000E-02  1.8209000E-05  2.5266000E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
46  8.2083081E-01  0.0000000E+00  2.3674000E-01  4.4719100E-01  0.0000000E+00  3.8520100E-02  7.4866100E-02  2.4490000E-04  3.4267000E-04  0.0000000E+00  7.7841100E-03  1.5084000E-02  2.4394000E-05  3.3539000E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
47  8.3257010E-01  0.0000000E+00  2.4001000E-01  4.5227100E-01  0.0000000E+00  3.9435000E-02  7.6627100E-02  2.6654000E-04  3.7192000E-04  0.0000000E+00  8.0161100E-03  1.5501000E-02  3.0034000E-05  4.1396000E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
48  8.4338123E-01  0.0000000E+00  2.4303800E-01  4.5683700E-01  0.0000000E+00  4.0306700E-02  7.8297400E-02  2.8898800E-04  4.0223700E-04  0.0000000E+00  8.2052400E-03  1.5919900E-02  3.6065700E-05  4.9694600E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
49  8.5334040E-01  0.0000000E+00  2.4569900E-01  4.6090900E-01  0.0000000E+00  4.1126900E-02  7.9852700E-02  3.1228900E-04  4.3332900E-04  0.0000000E+00  8.3946700E-03  1.6341900E-02  4.2704900E-05  5.8814800E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.0804800E-05  1.0829000E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
50  8.6251054E-01  0.0000000E+00  2.4818100E-01  4.6434200E-01  0.0000000E+00  4.1892100E-02  8.1341300E-02  3.3621100E-04  4.6514200E-04  0.0000000E+00  8.5846300E-03  1.6766100E-02  4.9747200E-05  6.8409200E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.7186100E-04  3.1204100E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
51  8.7092956E-01  0.0000000E+00  2.5043000E-01  4.6735000E-01  0.0000000E+00  4.2606000E-02  8.2664000E-02  3.6086000E-04  4.9769000E-04  0.0000000E+00  8.7744000E-03  1.7192000E-02  5.7168000E-05  7.8445000E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.2392000E-04  5.9508000E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
52  8.7868905E-01  0.0000000E+00  2.5244000E-01  4.6994000E-01  0.0000000E+00  4.3271000E-02  8.3920000E-02  3.8615000E-04  5.3098000E-04  0.0000000E+00  8.9646000E-03  1.7619000E-02  6.5000000E-05  8.9004000E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.1361000E-04  9.4971000E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
53  8.8580950E-01  0.0000000E+00  2.5430900E-01  4.7211800E-01  0.0000000E+00  4.3908800E-02  8.5151700E-02  4.1224900E-04  5.6505800E-04  0.0000000E+00  9.1560700E-03  1.7911900E-02  7.3223700E-05  1.0007000E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.3212700E-04  1.3713000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
54  8.9237003E-01  0.0000000E+00  2.5598800E-01  4.7407700E-01  0.0000000E+00  4.4502700E-02  8.6277500E-02  4.3897700E-04  5.9949600E-04  0.0000000E+00  9.3306400E-03  1.8197900E-02  8.1830500E-05  1.1153900E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.5625400E-04  1.8081900E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
55  8.9838881E-01  0.0000000E+00  2.5759000E-01  4.7571100E-01  0.0000000E+00  4.5068100E-02  8.7356100E-02  4.6639100E-04  6.3515100E-04  0.0000000E+00  9.4826200E-03  1.8483000E-02  9.0934200E-05  1.2361000E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.1699000E-03  2.2120000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
56  9.0393019E-01  0.0000000E+00  2.5910900E-01  4.7711900E-01  0.0000000E+00  4.5599900E-02  8.8354800E-02  4.9453900E-04  6.7124800E-04  0.0000000E+00  9.6336800E-03  1.8767000E-02  1.0047000E-04  1.3626000E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.3517000E-03  2.5925900E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
57  9.0902996E-01  0.0000000E+00  2.6046000E-01  4.7835100E-01  0.0000000E+00  4.6105100E-02  8.9324100E-02  5.2330100E-04  7.0781100E-04  0.0000000E+00  9.7835100E-03  1.9047000E-02  1.1046000E-04  1.4938000E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.5326000E-03  2.9357000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
58  9.1371941E-01  0.0000000E+00  2.6177100E-01  4.7937100E-01  0.0000000E+00  4.6595100E-02  9.0280300E-02  5.5403200E-04  7.4676200E-04  0.0000000E+00  9.9195300E-03  1.9300100E-02  1.1650000E-04  1.5678000E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.6725000E-03  3.2358100E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
59  9.1803041E-01  0.0000000E+00  2.6297000E-01  4.8024900E-01  0.0000000E+00  4.7063900E-02  9.1118800E-02  5.8463900E-04  7.8505900E-04  0.0000000E+00  1.0062000E-02  1.9564000E-02  1.2452000E-04  1.6700000E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.8074000E-03  3.5340900E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
60  9.2199997E-01  0.0000000E+00  2.6410200E-01  4.8096300E-01  0.0000000E+00  4.7511300E-02  9.1938500E-02  6.1607400E-04  8.2412500E-04  0.0000000E+00  1.0202100E-02  1.9827100E-02  1.3270100E-04  1.7724100E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.9154100E-03  3.7904200E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
61  9.2566012E-01  0.0000000E+00  2.6528000E-01  4.8137000E-01  0.0000000E+00  4.7918000E-02  9.2730000E-02  6.4842000E-04  8.6443000E-04  0.0000000E+00  1.0343000E-02  2.0089000E-02  1.4108000E-04  1.8769000E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.0279000E-03  4.0606000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
62  9.2902967E-01  0.0000000E+00  2.6625100E-01  4.8192100E-01  0.0000000E+00  4.8294100E-02  9.3437200E-02  6.8078100E-04  9.0428200E-04  0.0000000E+00  1.0473000E-02  2.0331000E-02  1.4947000E-04  1.9803000E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.1139000E-03  4.2759100E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
63  9.3212983E-01  0.0000000E+00  2.6733000E-01  4.8213000E-01  0.0000000E+00  4.8663000E-02  9.4149000E-02  7.1418000E-04  9.4502000E-04  0.0000000E+00  1.0602000E-02  2.0569000E-02  1.5808000E-04  2.0855000E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.1898000E-03  4.4712000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
64  9.3499008E-01  0.0000000E+00  2.6822000E-01  4.8224000E-01  0.0000000E+00  4.9006000E-02  9.4786900E-02  7.4760900E-04  9.8498900E-04  0.0000000E+00  1.0769000E-02  2.0904000E-02  1.6847000E-04  2.2141000E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.2680000E-03  4.6737000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
65  9.3763011E-01  0.0000000E+00  2.6919000E-01  4.8248000E-01  0.0000000E+00  4.9349000E-02  9.5450900E-02  7.8268000E-04  1.0271000E-03  0.0000000E+00  1.0829000E-02  2.0988000E-02  1.7564000E-04  2.2969000E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.3238000E-03  4.8043000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
66  9.4005963E-01  0.0000000E+00  2.7004000E-01  4.8259000E-01  0.0000000E+00  4.9670000E-02  9.6017000E-02  8.1783000E-04  1.0689000E-03  0.0000000E+00  1.0933000E-02  2.1179000E-02  1.8463000E-04  2.4037000E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.3808000E-03  4.9381000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
67  9.4150123E-01  0.0000000E+00  2.7067900E-01  4.8208700E-01  0.0000000E+00  4.9933700E-02  9.6517500E-02  8.5283500E-04  1.1102900E-03  0.0000000E+00  1.1022900E-02  2.1343900E-02  1.9362900E-04  2.5091900E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.4382900E-03  5.0712700E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
68  9.4383930E-01  0.0000000E+00  2.7169100E-01  4.8212200E-01  0.0000000E+00  5.0217200E-02  9.7058500E-02  8.8931400E-04  1.1526100E-03  0.0000000E+00  1.1117100E-02  2.1514100E-02  2.0294100E-04  2.6180100E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.4765100E-03  5.1362200E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
