#F EADL97_LShellNonradiativeRates.dat
#U00 This file is a conversion to specfile format of 
#U01 directly extracted EADL97 nonradiative transition probabilities.
#U02 EADL itself can be found at:
#U03           http://www-nds.iaea.org/epdl97/libsall.htm
#U04 The code used to generate this file has been:
#U05 GenerateEADLShellNonradiativeRates.py
#U06

#S 1 L1-Shell nonradiative rates
#N 51
#L Z  TOTAL  L1-L2L2  L1-L2L3  L1-L2M1  L1-L2M2  L1-L2M3  L1-L2M4  L1-L2M5  L1-L3L2  L1-L3L3  L1-L3M1  L1-L3M2  L1-L3M3  L1-L3M4  L1-L3M5  L1-M1L2  L1-M1L3  L1-M1M1  L1-M1M2  L1-M1M3  L1-M1M4  L1-M1M5  L1-M2L2  L1-M2L3  L1-M2M1  L1-M2M2  L1-M2M3  L1-M2M4  L1-M2M5  L1-M3L2  L1-M3L3  L1-M3M1  L1-M3M2  L1-M3M3  L1-M3M4  L1-M3M5  L1-M4L2  L1-M4L3  L1-M4M1  L1-M4M2  L1-M4M3  L1-M4M4  L1-M4M5  L1-M5L2  L1-M5L3  L1-M5M1  L1-M5M2  L1-M5M3  L1-M5M4  L1-M5M5
11  9.9988400E-01  0.0000000E+00  0.0000000E+00  3.3489800E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.6498600E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
12  9.9982100E-01  0.0000000E+00  0.0000000E+00  3.3122000E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.5659000E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.2011000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
13  9.9974423E-01  0.0000000E+00  0.0000000E+00  2.9813400E-01  1.6749800E-02  1.4667300E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.8989600E-01  1.4528400E-02  4.6678600E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.1253200E-02  2.6194400E-03  5.2174900E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
14  9.9965659E-01  0.0000000E+00  0.0000000E+00  2.6338400E-01  3.3659000E-02  3.1797600E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.1924800E-01  3.1346700E-02  9.4845700E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.0315800E-02  5.0068400E-03  9.9544000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.2312000E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.6238100E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
15  9.9956275E-01  0.0000000E+00  0.0000000E+00  2.3115700E-01  4.8201500E-02  4.8771300E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.5585600E-01  4.7831700E-02  1.3770200E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.1977200E-03  6.8908100E-03  1.3693500E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.4392800E-05  2.6791300E-06  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.7415000E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
16  9.9946826E-01  0.0000000E+00  0.0000000E+00  2.0300100E-01  6.1035100E-02  6.5122100E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.9679100E-01  6.3393300E-02  1.7644100E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.1913600E-03  8.3900600E-03  1.6643400E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4535200E-04  1.1356900E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.0322800E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
17  9.9937814E-01  0.0000000E+00  0.0000000E+00  1.7743600E-01  7.1700100E-02  7.9893500E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.4844400E-01  7.7563200E-02  2.0837200E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.2165700E-03  9.4198500E-03  1.8665500E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.0371600E-04  3.0073400E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.3362900E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
18  9.9929378E-01  0.0000000E+00  0.0000000E+00  1.5510500E-01  8.0024400E-02  9.3078600E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.0456400E-01  8.9811000E-02  2.3343100E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.3458300E-03  1.1725200E-02  2.3192600E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.9609600E-04  7.1141400E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.4891500E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
19  9.9920228E-01  0.0000000E+00  0.0000000E+00  1.4482200E-01  7.7765300E-02  9.3322600E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.7878900E-01  8.9032700E-02  2.2639400E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.0942100E-02  1.8407200E-02  3.6405900E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.4371500E-04  1.6217200E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.0093400E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
20  9.9911675E-01  0.0000000E+00  0.0000000E+00  1.2693700E-01  7.7299700E-02  9.3297800E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.5369300E-01  8.9270100E-02  2.2497900E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.3120800E-02  2.2875400E-02  4.5219200E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.2172100E-04  2.6798500E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.2329900E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
21  9.9902890E-01  0.0000000E+00  0.0000000E+00  1.0687900E-01  6.9247100E-02  8.6178800E-02  1.2306200E-02  2.0568500E-02  0.0000000E+00  0.0000000E+00  2.1056200E-01  8.1799400E-02  2.0099300E-01  2.7742100E-02  3.9171400E-02  0.0000000E+00  0.0000000E+00  1.4332500E-02  2.5271700E-02  4.9876200E-02  2.2444200E-03  3.3336800E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.3780900E-04  3.6210900E-04  3.3612300E-05  5.2557400E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4956900E-03  6.6243300E-04  4.9682600E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
22  9.9893739E-01  0.0000000E+00  0.0000000E+00  8.9238400E-02  6.2474600E-02  7.9840200E-02  2.1206700E-02  3.5234200E-02  0.0000000E+00  0.0000000E+00  1.8273500E-01  7.4956200E-02  1.8085600E-01  4.8090600E-02  6.7858400E-02  0.0000000E+00  0.0000000E+00  1.5515000E-02  2.7574700E-02  5.4348600E-02  5.1021700E-03  7.5699300E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.1975100E-04  4.3979400E-04  7.0734500E-05  1.1701800E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.5105500E-03  1.4687800E-03  1.0924000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.3024500E-05  7.4887100E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.0511900E-04
23  9.9884152E-01  0.0000000E+00  0.0000000E+00  6.9268500E-02  5.7664100E-02  7.5556300E-02  2.7788600E-02  4.5921600E-02  0.0000000E+00  0.0000000E+00  1.6636600E-01  7.0067600E-02  1.6578600E-01  6.3619300E-02  8.9796400E-02  0.0000000E+00  0.0000000E+00  1.5889400E-02  2.8385900E-02  5.5855800E-02  8.1493500E-03  1.2076100E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.9918800E-04  5.1310100E-04  1.1127100E-04  1.9256300E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4266400E-03  2.2562700E-03  1.6642000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.4530300E-05  2.4707500E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.7788400E-04
24  9.9874113E-01  0.0000000E+00  0.0000000E+00  7.1132700E-02  5.1771500E-02  7.0474000E-02  3.4809400E-02  5.7158100E-02  0.0000000E+00  0.0000000E+00  1.4321800E-01  6.4104600E-02  1.4697000E-01  8.0291000E-02  1.1354100E-01  0.0000000E+00  0.0000000E+00  1.5859100E-02  2.8121800E-02  5.5204700E-02  1.2657200E-02  1.8707000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.4286300E-04  6.5923800E-04  2.0126800E-04  3.6375600E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.5375900E-03  4.0319800E-03  2.9493000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.0162400E-04  5.5960700E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.9850000E-03
25  9.9863719E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.5006200E-02  7.4893800E-02  3.8625300E-02  6.3433300E-02  0.0000000E+00  0.0000000E+00  1.4114200E-01  6.7957300E-02  1.5517300E-01  9.0273500E-02  1.2774000E-01  0.0000000E+00  0.0000000E+00  1.5176600E-02  2.7290700E-02  5.3529300E-02  1.3709400E-02  2.0258400E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.4818000E-04  6.3660600E-04  1.9599400E-04  3.6296100E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.2502200E-03  3.7463000E-03  2.7289500E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.6870400E-04  8.9587100E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.4064200E-03
26  9.9852968E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.2198400E-02  7.2180200E-02  4.0970300E-02  6.6842700E-02  0.0000000E+00  0.0000000E+00  1.3363500E-01  6.4765200E-02  1.4531000E-01  9.6823800E-02  1.3717500E-01  0.0000000E+00  0.0000000E+00  1.4225300E-02  2.5641200E-02  5.0206700E-02  1.5795700E-02  2.3306000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.0965200E-04  6.6824300E-04  2.3242800E-04  4.4074100E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.1781000E-03  4.4604200E-03  3.2325400E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.5844400E-04  1.3524900E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.5386900E-03
27  9.9841702E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.0127300E-02  7.0449600E-02  4.2737200E-02  6.9569900E-02  0.0000000E+00  0.0000000E+00  1.2418100E-01  6.2405300E-02  1.3810100E-01  1.0247200E-01  1.4535000E-01  0.0000000E+00  0.0000000E+00  1.3269200E-02  2.3981700E-02  4.6862200E-02  1.7594400E-02  2.5916600E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.6545800E-04  6.7654800E-04  2.6220600E-04  5.0529200E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.1198200E-03  5.1556700E-03  3.7191500E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.5958700E-04  1.8542900E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.8101500E-03
