#F EADL97_LShellNonradiativeRates.dat
#U00 This file is a conversion to specfile format of 
#U01 directly extracted EADL97 nonradiative transition probabilities.
#U02 EADL itself can be found at:
#U03           http://www-nds.iaea.org/epdl97/libsall.htm
#U04 The code used to generate this file has been:
#U05 GenerateEADLShellNonradiativeRates.py
#U06

#S 1 L1-Shell nonradiative rates
#N 51
#L Z  TOTAL  L1-L2L2  L1-L2L3  L1-L2M1  L1-L2M2  L1-L2M3  L1-L2M4  L1-L2M5  L1-L3L2  L1-L3L3  L1-L3M1  L1-L3M2  L1-L3M3  L1-L3M4  L1-L3M5  L1-M1L2  L1-M1L3  L1-M1M1  L1-M1M2  L1-M1M3  L1-M1M4  L1-M1M5  L1-M2L2  L1-M2L3  L1-M2M1  L1-M2M2  L1-M2M3  L1-M2M4  L1-M2M5  L1-M3L2  L1-M3L3  L1-M3M1  L1-M3M2  L1-M3M3  L1-M3M4  L1-M3M5  L1-M4L2  L1-M4L3  L1-M4M1  L1-M4M2  L1-M4M3  L1-M4M4  L1-M4M5  L1-M5L2  L1-M5L3  L1-M5M1  L1-M5M2  L1-M5M3  L1-M5M4  L1-M5M5
28  9.9828065E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.8739100E-02  6.9310500E-02  4.4138800E-02  7.1533300E-02  0.0000000E+00  0.0000000E+00  1.1486100E-01  6.0439900E-02  1.3210200E-01  1.0740300E-01  1.5250900E-01  0.0000000E+00  0.0000000E+00  1.2336500E-02  2.2364400E-02  4.3608300E-02  1.9121000E-02  2.8112200E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.2602500E-04  6.7481200E-04  2.8684500E-04  5.6045800E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.0718300E-03  5.8376300E-03  4.1925600E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.6343300E-04  2.3585300E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.1804100E-03
29  9.9813475E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.7836100E-02  6.9220700E-02  4.6482000E-02  7.4638700E-02  0.0000000E+00  0.0000000E+00  1.0735900E-01  5.8877100E-02  1.2593900E-01  1.1417100E-01  1.6217700E-01  0.0000000E+00  0.0000000E+00  1.1274700E-02  2.0428400E-02  3.9708600E-02  2.1030000E-02  3.0804700E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.0384600E-04  6.9469200E-04  3.3788600E-04  6.6478200E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.0769800E-03  7.1335500E-03  5.0946000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.6318000E-04  2.8694400E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.3104500E-03
30  9.9797838E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.7268000E-02  6.8099800E-02  4.6381700E-02  7.4468200E-02  0.0000000E+00  0.0000000E+00  9.8597100E-02  5.7912200E-02  1.2357900E-01  1.1627900E-01  1.6535500E-01  0.0000000E+00  0.0000000E+00  1.0402800E-02  1.9007200E-02  3.6889700E-02  2.1013600E-02  3.0779200E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.5752700E-04  6.4758400E-04  3.2433300E-04  6.3983300E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.6065500E-04  6.8450700E-03  4.8784900E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.3684000E-04  3.1790500E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8994600E-03
31  9.9779963E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.2957500E-02  7.5543900E-02  5.2091000E-02  8.3609900E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.5067600E-02  1.3856400E-01  1.3262800E-01  1.8874900E-01  0.0000000E+00  0.0000000E+00  9.8235300E-03  1.8104200E-02  3.5090500E-02  2.1212900E-02  3.1062200E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.3124000E-04  6.3542600E-04  3.2744400E-04  6.4182900E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.1877600E-04  6.9334000E-03  4.9340800E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.0434300E-04  3.4498900E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.5177700E-03
32  9.9758562E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.9390600E-02  7.6628500E-02  5.2346800E-02  8.4104500E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.6218800E-02  1.4086700E-01  1.3718400E-01  1.9540600E-01  0.0000000E+00  0.0000000E+00  9.3010500E-03  1.7314000E-02  3.3511700E-02  2.1222400E-02  3.1054400E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.1080300E-04  6.2711800E-04  3.3125000E-04  6.4217400E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.8425800E-04  6.9586100E-03  4.9449700E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.4957000E-04  3.6039100E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.9632300E-03
33  9.9735812E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.8602500E-02  9.4010400E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.5446800E-02  1.5981900E-01  1.5950100E-01  2.2752100E-01  0.0000000E+00  0.0000000E+00  8.6509100E-03  1.6202000E-02  3.1315600E-02  2.0592000E-02  3.0109300E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.9358400E-04  6.1736000E-04  3.3592900E-04  6.4298600E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.5454200E-04  6.9886500E-03  4.9582200E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.6863000E-04  3.6199600E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.0029000E-02
34  9.9711888E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.5935900E-02  8.9479700E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.6044500E-02  1.5820200E-01  1.6023200E-01  2.2838200E-01  0.0000000E+00  0.0000000E+00  8.2244600E-03  1.5497600E-02  2.9914500E-02  2.0333800E-02  2.9698800E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.7819600E-04  6.0903900E-04  3.4059000E-04  6.4158800E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.1823300E-04  6.8922000E-03  4.8819000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.9475400E-04  3.6756100E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.0201500E-02
35  9.9682882E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.2292100E-02  8.3475600E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.7817300E-02  1.5845800E-01  1.6018600E-01  2.2869400E-01  0.0000000E+00  0.0000000E+00  7.8824300E-03  1.4938900E-02  2.8795400E-02  2.0090600E-02  2.9317100E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.6531500E-04  6.0102200E-04  3.4673700E-04  6.4078100E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.8567200E-04  6.7807500E-03  4.7966700E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.1884300E-04  3.7151800E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.0329400E-02
36  9.9650174E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.7306500E-02  9.1422400E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.2786100E-01  1.9147000E-01  2.7292000E-01  0.0000000E+00  0.0000000E+00  7.6285100E-03  1.4537400E-02  2.7978600E-02  1.9939700E-02  2.9065900E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.5378500E-04  5.9468700E-04  3.5707400E-04  6.4464900E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.3937000E-04  6.5670200E-03  4.6407300E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.4614900E-04  3.7621000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.0479700E-02
37  9.9614657E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.1733500E-02  9.7696000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.2918900E-01  3.2724900E-01  0.0000000E+00  0.0000000E+00  7.3457500E-03  1.4064500E-02  2.7028100E-02  1.9624200E-02  2.8573200E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4344900E-04  5.8493300E-04  3.6171700E-04  6.4089700E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.9142100E-04  6.2402300E-03  4.4038500E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.6071300E-04  3.7648300E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.0501900E-02
38  9.9570564E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.1035400E-02  8.2280300E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.3546300E-01  3.3655600E-01  0.0000000E+00  0.0000000E+00  6.9933400E-03  1.3443200E-02  2.5796800E-02  1.9055400E-02  2.7704900E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.3192200E-04  5.6722100E-04  3.6132500E-04  6.2928200E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.4129800E-04  5.8866000E-03  4.1468600E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.6088700E-04  3.7010700E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.0339100E-02
39  9.9520841E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.9845700E-02  5.1859100E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.5125100E-01  3.5888700E-01  0.0000000E+00  0.0000000E+00  6.6643400E-03  1.2861400E-02  2.4634100E-02  1.8454600E-02  2.6798400E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.2145100E-04  5.4919000E-04  3.6008400E-04  6.1502800E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.0140300E-04  5.5761000E-03  3.9217800E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.5601800E-04  3.6243200E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.0137300E-02
40  9.9466931E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.7752100E-01  3.9735600E-01  0.0000000E+00  0.0000000E+00  6.2447200E-03  1.2094800E-02  2.3126300E-02  1.7528600E-02  2.5417600E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.1003000E-04  5.2096000E-04  3.5201900E-04  5.8928100E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.6286100E-04  5.2623000E-03  3.6944300E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.3256200E-04  3.4735100E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.7263400E-03
41  9.9408244E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.7715000E-01  3.9547800E-01  0.0000000E+00  0.0000000E+00  6.0525500E-03  1.1763500E-02  2.2452100E-02  1.7176400E-02  2.4869500E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.0194300E-04  5.0696100E-04  3.5796900E-04  5.8386200E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.4110500E-04  5.1347000E-03  3.6014300E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.3632400E-04  3.4308700E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.6207200E-03
42  9.9334633E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.7432400E-01  3.9170000E-01  0.0000000E+00  0.0000000E+00  5.9631100E-03  1.1617600E-02  2.2133100E-02  1.7078000E-02  2.4691300E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.7266300E-05  5.0231800E-04  3.6598100E-04  5.8552200E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.3209900E-04  5.0674700E-03  3.5470300E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.4787500E-04  3.4338300E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.6366800E-03
43  9.9253971E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.7117500E-01  3.8994000E-01  0.0000000E+00  0.0000000E+00  5.8540800E-03  1.1435500E-02  2.1741400E-02  1.6904900E-02  2.4399000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.2116500E-05  4.9554800E-04  3.7230400E-04  5.8414700E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.2072600E-04  4.9734900E-03  3.4740400E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.5336700E-04  3.4149800E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.5910100E-03
44  9.9158614E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.6447200E-01  3.8584000E-01  0.0000000E+00  0.0000000E+00  5.8584000E-03  1.1470100E-02  2.1760400E-02  1.7027600E-02  2.4538700E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.9380100E-05  4.9660200E-04  3.8508200E-04  5.9303800E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.1958200E-04  4.9640600E-03  3.4604100E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.7333200E-04  3.4528900E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.7043300E-03
45  9.9039110E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.5419400E-01  3.8328000E-01  0.0000000E+00  0.0000000E+00  5.8968700E-03  1.1572300E-02  2.1902100E-02  1.7230500E-02  2.4788700E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.6871300E-05  4.9981900E-04  3.9976900E-04  6.0464600E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.2123800E-04  4.9748000E-03  3.4596300E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.9629200E-04  3.5037500E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.8535700E-03
46  9.8846671E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.2493700E-01  3.7583600E-01  0.0000000E+00  0.0000000E+00  6.3517000E-03  1.2494800E-02  2.3594800E-02  1.8642400E-02  2.6773500E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.0353100E-05  5.3777600E-04  4.4394300E-04  6.5719300E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.6035700E-04  5.3119700E-03  3.6861100E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  9.8215300E-04  3.8011000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.0694000E-02
47  9.8512113E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.5780300E-01  3.5550600E-01  0.0000000E+00  0.0000000E+00  7.5077500E-03  1.4802400E-02  2.7884400E-02  2.2108300E-02  3.1691200E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.0371600E-04  6.3237800E-04  5.4023300E-04  7.8503500E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.5957800E-04  6.2307600E-03  4.3133600E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.1796400E-03  4.5146500E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.2708500E-02
48  9.7930942E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.0263800E-01  2.5167000E-01  0.0000000E+00  0.0000000E+00  9.6518500E-03  1.9066500E-02  3.5827800E-02  2.8474400E-02  4.0740100E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.2705900E-04  8.0361300E-04  7.1975700E-04  1.0209800E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.3853800E-04  7.9561200E-03  5.4975200E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.5423900E-03  5.8253300E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.6412000E-02
49  9.6699789E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4573200E-02  2.8818300E-02  5.4019600E-02  4.3071500E-02  6.1496700E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.8548300E-04  1.2032200E-03  1.1157200E-03  1.5544300E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.2616000E-03  1.1884000E-02  8.1904000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.3565100E-03  8.8121600E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.4835300E-02
50  9.6468668E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4219900E-02  2.8161800E-02  5.2638600E-02  4.2060700E-02  5.9938500E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.7493100E-04  1.1623000E-03  1.1172000E-03  1.5284000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.2253000E-03  1.1458000E-02  7.8735000E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.3235700E-03  8.6053800E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.4258800E-02
51  9.6222647E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.3884300E-02  2.7550600E-02  5.1351000E-02  4.1087800E-02  5.8428200E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.6517900E-04  1.1224900E-03  1.1181900E-03  1.5035900E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.1925900E-03  1.1047900E-02  7.5703400E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.2900300E-03  8.4016000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.3689100E-02
52  9.5962951E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.3598200E-02  2.7038400E-02  5.0253700E-02  4.0262700E-02  5.7138300E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.5720400E-04  1.0888900E-03  1.1211900E-03  1.4784200E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.1670000E-03  1.0644900E-02  7.2725100E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.2616400E-03  8.2303400E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.3208500E-02
53  9.5716268E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.3331100E-02  2.6533100E-02  4.9151300E-02  3.9431900E-02  5.5836400E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4817700E-04  1.0516800E-03  1.1245100E-03  1.4565600E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.1397500E-03  1.0269900E-02  6.9936500E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.2314700E-03  8.0456600E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.2691000E-02
54  9.5456932E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.3470400E-02  2.6721000E-02  4.9343300E-02  3.8731500E-02  5.4691900E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.5580800E-04  9.8053100E-04  1.0922600E-03  1.4327600E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.1551300E-03  9.8889100E-03  6.7132600E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.1128700E-03  7.7506500E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.1770300E-02
55  9.5172611E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.3224800E-02  2.6276000E-02  4.8345000E-02  3.8004100E-02  5.3546700E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4859800E-04  9.4975100E-04  1.0975100E-03  1.4101900E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.1337200E-03  9.5221400E-03  6.4444900E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.0881200E-03  7.5977500E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.1341000E-02
56  9.4873863E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.2962200E-02  2.5790800E-02  4.7301200E-02  3.7160500E-02  5.2232400E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.3865100E-04  9.0994400E-04  1.1084600E-03  1.3917300E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.1023300E-03  9.1957200E-03  6.2075300E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.0646300E-03  7.4241800E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.0863300E-02
