90
 0.00000000000000E+0000   0.00000000000000E+0000   0.00000000000000E+0000
 1.00000000000000E-0003   4.44000000000000E-0005   9.80695759823017E+0001
 5.00000000000000E-0003   1.10470000000000E-0003   8.58385600442456E+0001
 1.00000000000000E-0002   4.40970000000000E-0003   8.76355230548742E+0001
 1.50000000000000E-0002   9.88760000000000E-0003   8.51153477362581E+0001
 2.00000000000000E-0002   1.74940000000000E-0002   8.27430860000927E+0001
 2.50000000000000E-0002   2.71660000000000E-0002   7.96563082633713E+0001
 3.00000000000000E-0002   3.88260000000000E-0002   7.57516809464241E+0001
 3.75000000000000E-0002   5.98370000000000E-0002   6.99635246696717E+0001
 4.00000000000000E-0002   6.77290000000000E-0002   6.58367598033425E+0001
 4.75000000000000E-0002   9.38380000000000E-0002   6.06341323012006E+0001
 5.00000000000000E-0002   1.03310000000000E-0001   5.56566621803517E+0001
 5.87500000000000E-0002   1.39100000000000E-0001   4.62918921032485E+0001
 6.62500000000000E-0002   1.72630000000000E-0001   3.87737902469364E+0001
 7.00000000000000E-0002   1.90230000000000E-0001   3.10401409785513E+0001
 7.87500000000000E-0002   2.32960000000000E-0001   2.50475646493333E+0001
 8.00000000000000E-0002   2.39230000000000E-0001   1.83008359036229E+0001
 8.62500000000000E-0002   2.71010000000000E-0001   1.71164809014474E+0001
 9.00000000000000E-0002   2.90380000000000E-0001   7.06404201958712E+0000
 9.75000000000000E-0002   3.29460000000000E-0001   6.51630015716407E+0000
 1.00000000000000E-0001   3.42560000000000E-0001  -2.92252731605617E+0000
 1.06250000000000E-0001   3.75240000000000E-0001  -5.17544357789098E+0000
 1.15630000000000E-0001   4.23830000000000E-0001  -1.19111283445733E+0001
 1.25000000000000E-0001   4.71300000000000E-0001  -2.01492786426035E+0001
 1.35940000000000E-0001   5.24540000000000E-0001  -2.44672787906044E+0001
 1.45310000000000E-0001   5.67880000000000E-0001  -2.48210763144618E+0001
 1.50000000000000E-0001   5.88730000000000E-0001  -3.22814979201997E+0001
 1.60940000000000E-0001   6.34720000000000E-0001  -2.97265794688070E+0001
 1.70310000000000E-0001   6.71230000000000E-0001  -3.02574983626896E+0001
 1.75000000000000E-0001   6.88500000000000E-0001  -3.31925789504812E+0001
 1.87500000000000E-0001   7.31070000000000E-0001  -3.01718479593227E+0001
 2.00000000000000E-0001   7.68840000000000E-0001  -3.04400292122284E+0001
 2.12500000000000E-0001   8.01950000000000E-0001  -2.70120351917563E+0001
 2.21880000000000E-0001   8.24030000000000E-0001  -2.20240509016247E+0001
 2.28910000000000E-0001   8.39200000000000E-0001  -2.84632596950474E+0001
 2.35940000000000E-0001   8.53080000000000E-0001  -2.07368125336332E+0001
 2.42970000000000E-0001   8.65880000000000E-0001  -1.97081059787015E+0001
 2.50000000000000E-0001   8.77680000000000E-0001  -2.18368892999851E+0001
 2.62500000000000E-0001   8.96160000000000E-0001  -1.67381499397315E+0001
 2.71880000000000E-0001   9.08230000000000E-0001  -1.53832771445231E+0001
 2.78910000000000E-0001   9.16380000000000E-0001  -1.46367039489594E+0001
 2.90630000000000E-0001   9.28400000000000E-0001  -1.23975100284410E+0001
 2.92970000000000E-0001   9.30590000000000E-0001  -7.70891029112181E+0000
 3.00000000000000E-0001   9.36860000000000E-0001  -1.28816659617526E+0001
 3.17970000000000E-0001   9.50280000000000E-0001  -9.58670441613146E+0000
 3.25000000000000E-0001   9.54650000000000E-0001  -5.72586738126580E+0000
 3.33010000000000E-0001   9.59230000000000E-0001  -7.41441902233320E+0000
 3.49760000000000E-0001   9.67340000000000E-0001  -6.72303020366587E+0000
 3.62500000000000E-0001   9.72330000000000E-0001  -2.69076090217330E+0000
 3.67700000000000E-0001   9.74180000000000E-0001  -6.39753891453709E+0000
 3.89230000000000E-0001   9.80410000000000E-0001  -1.97068862168354E+0000
 4.00000000000000E-0001   9.82980000000000E-0001  -3.65661087145410E+0000
 4.25000000000000E-0001   9.87560000000000E-0001  -1.98946465809691E+0000
 4.43750000000000E-0001   9.90110000000000E-0001  -9.44350433608487E-0001
 4.50000000000000E-0001   9.90860000000000E-0001  -1.83680255685741E+0000
 4.71880000000000E-0001   9.93010000000000E-0001  -9.67996949771351E-0001
 5.00000000000000E-0001   9.95020000000000E-0001  -8.43326639159340E-0001
 5.25000000000000E-0001   9.96270000000000E-0001  -4.82445931755240E-0001
 5.62500000000000E-0001   9.97560000000000E-0001  -3.25629134709402E-0001
 6.00000000000000E-0001   9.98370000000000E-0001  -2.63037529407308E-0001
 6.50000000000000E-0001   9.98970000000000E-0001   1.28532039578064E-0002
 7.00000000000000E-0001   9.99410000000000E-0001  -1.72375286424033E-0001
 7.50000000000000E-0001   9.99590000000000E-0001   5.26479417382310E-0002
 8.00000000000000E-0001   9.99760000000000E-0001  -6.22164805287820E-0002
 8.75000000000000E-0001   9.99870000000000E-0001   1.76229739371722E-0002
 9.00000000000000E-0001   9.99900000000000E-0001  -1.83343499114514E-0002
 1.00000000000000E+0000   9.99950000000000E-0001  -5.69868705606519E-0004
 1.12500000000000E+0000   9.99970000000000E-0001   3.99007269354919E-0004
 1.25000000000000E+0000   9.99990000000000E-0001  -1.02616037181315E-0003
 1.43750000000000E+0000   1.00000000000000E+0000  -2.58803606872318E-0004
 1.50000000000000E+0000   1.00000000000000E+0000   2.89099704413081E-0005
 1.75000000000000E+0000   1.00000000000000E+0000  -7.57402438519077E-0006
 2.00000000000000E+0000   1.00000000000000E+0000   1.38612709945499E-0006
 2.50000000000000E+0000   1.00000000000000E+0000  -3.71369105769592E-0007
