53	L1	2.1
53	L2	2.95
53	L3	2.72
53	M1	10.4
53	M2	3.35
53	M3	4.3
53	M4	0.56
53	M5	0.56
54	K	11.5
54	L1	2.0
54	L2	3.05
54	L3	2.82
54	M1	10.6
54	M2	3.5
54	M3	4.7
54	M4	0.6
54	M5	0.6
55	K	12.3
55	L1	2.0
55	L2	3.15
55	L3	2.92
55	M1	10.8
55	M2	3.7
55	M3	5.0
55	M4	0.63
55	M5	0.63
56	K	13.2
56	L1	2.1
56	L2	3.25
56	L3	3.02
56	M1	11.1
56	M2	3.9
56	M3	5.4
56	M4	0.67
56	M5	0.67
57	K	14.2
57	L1	2.2
57	L2	3.35
57	L3	3.12
57	M1	11.4
57	M2	4.1
57	M3	5.8
57	M4	0.7
57	M5	0.7
58	K	15.2
58	L1	2.5
58	L2	3.41
58	L3	3.19
58	M1	11.6
58	M2	4.3
58	M3	6.2
58	M4	0.72
58	M5	0.72
59	K	16.2
59	L1	2.7
59	L2	3.48
59	L3	3.27
59	M1	11.8
59	M2	4.5
59	M3	6.7
59	M4	0.75
59	M5	0.75
60	K	17.4
60	L1	2.9
60	L2	3.55
60	L3	3.36
60	M1	12.0
60	M2	4.7
60	M3	7.3
60	M4	0.78
60	M5	0.78
61	K	18.5
61	L1	3.1
61	L2	3.63
61	L3	3.44
61	M1	12.2
61	M2	5.0
61	M3	7.8
61	M4	0.82
61	M5	0.82
62	K	19.8
62	L1	3.3
62	L2	3.7
62	L3	3.53
62	M1	12.4
62	M2	5.2
62	M3	8.1
62	M4	0.86
62	M5	0.86
63	K	21.1
63	L1	3.6
63	L2	3.77
63	L3	3.62
63	M1	12.6
63	M2	5.4
63	M3	8.2
63	M4	0.9
63	M5	0.9
64	K	22.4
64	L1	3.8
64	L2	3.87
64	L3	3.72
64	M1	12.8
64	M2	5.6
64	M3	8.3
64	M4	0.95
64	M5	0.95
65	K	23.8
65	L1	4.0
65	L2	3.93
65	L3	3.8
65	M1	13.0
65	M2	5.8
65	M3	8.2
65	M4	1.01
65	M5	1.01
66	K	25.3
66	L1	4.3
66	L2	4.01
66	L3	3.9
66	M1	13.2
66	M2	6.0
66	M3	8.0
66	M4	1.065
66	M5	1.065
67	K	26.9
67	L1	4.5
67	L2	4.09
67	L3	4.0
67	M1	13.4
67	M2	6.3
67	M3	7.8
67	M4	1.13
67	M5	1.13
68	K	28.5
68	L1	4.7
68	L2	4.18
68	L3	4.1
68	M1	13.6
68	M2	6.6
68	M3	7.5
68	M4	1.2
68	M5	1.2
69	K	30.2
69	L1	4.9
69	L2	4.26
69	L3	4.2
69	M1	13.8
69	M2	6.85
69	M3	7.1
69	M4	1.27
69	M5	1.27
70	K	32.0
70	L1	5.2
70	L2	4.36
70	L3	4.31
70	M1	13.9
70	M2	7.1
70	M3	6.7
70	M4	1.35
70	M5	1.35
71	K	33.9
71	L1	5.4
71	L2	4.46
71	L3	4.43
71	M1	14.1
71	M2	7.3
71	M3	6.0
71	M4	1.43
71	M5	1.43
72	K	35.9
72	L1	5.7
72	L2	4.57
72	L3	4.55
72	M1	14.2
72	M2	7.5
72	M3	5.6
72	M4	1.52
72	M5	1.52
73	K	37.9
73	L1	6.0
73	L2	4.69
73	L3	4.68
73	M1	14.3
73	M2	7.8
73	M3	5.7
73	M4	1.61
73	M5	1.61
74	K	40.1
74	L1	6.3
74	L2	4.82
74	L3	4.81
74	M1	14.5
74	M2	8.1
74	M3	6.4
74	M4	1.7
74	M5	1.7
75	K	42.2
75	L1	6.7
75	L2	4.95
75	L3	4.95
75	M1	14.6
75	M2	8.4
75	M3	6.9
