1 K   1.00000000000000E+0000
2 K   1.00000000000000E+0000
3 K   1.00000000000000E+0000
3 L1  1.00000000000000E+0000
4 K   2.35299999999988E+0001
4 L1  1.00000000000000E+0000
4 L2  1.00000000000000E+0000
4 L3  1.00000000000000E+0000
5 K   2.17000000000116E+0001
5 L1  1.00000000000000E+0000
5 L2  1.00000000000000E+0000
5 L3  1.00000000000000E+0000
6 K   1.90199999999895E+0001
6 L1  1.00000000000000E+0000
6 L2  1.00000000000000E+0000
6 L3  1.00000000000000E+0000
7 K   1.74400000000023E+0001
7 L1  1.00000000000000E+0000
7 L2  1.00000000000000E+0000
7 L3  1.00000000000000E+0000
8 K   1.53999999999941E+0001
8 L1  1.00000000000000E+0000
8 L2  1.00000000000000E+0000
8 L3  1.00000000000000E+0000
9 K   1.38399999999965E+0001
9 L1  1.00000000000000E+0000
9 L2  1.00000000000000E+0000
9 L3  1.00000000000000E+0000
10 K   1.36100000000005E+0001
10 L1  1.00000000000000E+0000
10 L2  1.00000000000000E+0000
10 L3  1.00000000000000E+0000
11 K   1.18399999999965E+0001
11 L1  1.00000000000000E+0000
11 L2  1.00000000000000E+0000
11 L3  1.00000000000000E+0000
12 K   1.20200000000040E+0001
12 L1  1.00000000000000E+0000
12 L2  1.00000000000000E+0000
12 L3  1.00000000000000E+0000
12 M1  1.00000000000000E+0000
12 M2  1.00000000000000E+0000
12 M3  1.00000000000000E+0000
13 K   1.09499999999970E+0001
13 L1  1.08900999999969E+0000
13 L2  1.00000000000000E+0000
13 L3  1.00000000000000E+0000
13 M1  1.00000000000000E+0000
13 M2  1.00000000000000E+0000
13 M3  1.00000000000000E+0000
14 K   1.03699999999953E+0001
14 L1  1.09470999999940E+0000
14 L2  1.00000000000000E+0000
14 L3  1.00000000000000E+0000
14 M1  1.00000000000000E+0000
14 M2  1.00000000000000E+0000
14 M3  1.00000000000000E+0000
15 K   9.96899999999732E+0000
15 L1  1.09965000000011E+0000
15 L2  1.00000000000000E+0000
15 L3  6.19000000000233E+0000
15 M1  1.00000000000000E+0000
15 M2  1.00000000000000E+0000
15 M3  1.00000000000000E+0000
16 K   9.61299999999756E+0000
16 L1  1.10397000000012E+0000
16 L2  1.39999999999964E+0000
16 L3  5.54600000000210E+0000
16 M1  1.00000000000000E+0000
16 M2  1.00000000000000E+0000
16 M3  1.00000000000000E+0000
17 K   9.30899999999383E+0000
17 L1  1.10778000000028E+0000
17 L2  1.39999999999964E+0000
17 L3  4.64600000000064E+0000
17 M1  1.00000000000000E+0000
17 M2  1.00000000000000E+0000
17 M3  1.00000000000000E+0000
18 K   9.05400000000372E+0000
18 L1  1.11117000000013E+0000
18 L2  1.39999999999964E+0000
18 L3  4.18299999999726E+0000
18 M1  1.00000000000000E+0000
18 M2  1.00000000000000E+0000
18 M3  1.00000000000000E+0000
19 K   9.16300000000047E+0000
19 L1  1.11420999999973E+0000
19 L2  1.39999999999964E+0000
19 L3  1.09799999999959E+0001
19 M1  1.00000000000000E+0000
19 M2  1.00000000000000E+0000
19 M3  1.00000000000000E+0000
20 K   8.74400000000605E+0000
20 L1  1.11693999999989E+0000
20 L2  1.39999999999964E+0000
20 L3  5.81100000000151E+0000
20 M1  1.00000000000000E+0000
20 M2  1.00000000000000E+0000
20 M3  1.00000000000000E+0000
21 K   8.55100000000675E+0000
21 L1  1.11939999999959E+0000
21 L2  1.39999999999964E+0000
21 L3  5.00699999999779E+0000
21 M1  1.00000000000000E+0000
21 M2  1.00000000000000E+0000
21 M3  1.00000000000000E+0000
22 K   8.36599999999453E+0000
22 L1  1.12164999999914E+0000
22 L2  1.39999999999964E+0000
22 L3  4.59199999999692E+0000
22 M1  1.00000000000000E+0000
22 M2  1.00000000000000E+0000
22 M3  1.00000000000000E+0000
22 M4  1.00000000000000E+0000
22 M5  1.00000000000000E+0000
23 K   8.24199999999837E+0000
23 L1  1.12370000000010E+0000
23 L2  1.39999999999964E+0000
23 L3  4.07299999999668E+0000
23 M1  1.00000000000000E+0000
23 M2  1.00000000000000E+0000
23 M3  1.00000000000000E+0000
23 M4  1.00000000000000E+0000
23 M5  1.00000000000000E+0000
24 K   8.04499999999825E+0000
24 L1  1.12557999999990E+0000
24 L2  1.39999999999964E+0000
24 L3  5.00000000000000E+0000
24 M1  1.00000000000000E+0000
24 M2  1.00000000000000E+0000
24 M3  1.00000000000000E+0000
24 M4  1.00000000000000E+0000
24 M5  1.00000000000000E+0000
25 K   7.99900000000343E+0000
25 L1  1.12730999999985E+0000
25 L2  1.39999999999964E+0000
25 L3  3.30600000000049E+0000
25 M1  1.00000000000000E+0000
25 M2  1.00000000000000E+0000
25 M3  1.00000000000000E+0000
25 M4  1.00000000000000E+0000
25 M5  1.00000000000000E+0000
26 K   7.89299999999639E+0000
26 L1  1.12889999999970E+0000
26 L2  1.39999999999964E+0000
26 L3  3.09899999999834E+0000
26 M1  1.00000000000000E+0000
26 M2  1.00000000000000E+0000
26 M3  1.00000000000000E+0000
26 M4  1.00000000000000E+0000
26 M5  1.00000000000000E+0000
27 K   7.79600000000210E+0000
27 L1  1.13038000000051E+0000
27 L2  1.39999999999964E+0000
27 L3  2.77300000000105E+0000
27 M1  1.04000000000087E+0000
27 M2  1.00000000000000E+0000
27 M3  1.00000000000000E+0000
27 M4  1.00000000000000E+0000
27 M5  1.00000000000000E+0000
28 K   7.70700000000215E+0000
28 L1  1.13175000000047E+0000
28 L2  1.39999999999964E+0000
28 L3  2.61400000000140E+0000
28 M1  1.04000000000087E+0000
28 M2  1.00000000000000E+0000
