  40 L1M3  0.5406
  40 L2N4  0.0150
  40 L3M1  0.0357
  41  KL3  0.5495
  41  KL2  0.2874
  41  KM3  0.0935
  41  KM2  0.0480
  41 L3M5  0.8372
  41 L2M4  0.9363
  41 L1M3  0.5376
  41 L2N4  0.0288
  41 L3M1  0.0350
  42  KL3  0.5474
  42  KL2  0.2873
  42  KM3  0.0945
  42  KM2  0.0485
  42 L3M5  0.8286
  42 L2M4  0.9270
  42 L1M3  0.5335
  42 L2N4  0.0386
  42 L3M1  0.0343
  43  KL3  0.5451
  43  KL2  0.2862
  43  KM3  0.0953
  43  KM2  0.0490
  43 L3M5  0.8193
  43 L2M4  0.9184
  43 L1M3  0.5288
  43 L2N4  0.0490
  43 L3M1  0.0338
  44  KL3  0.5430
  44  KL2  0.2857
  44  KM3  0.0961
  44  KM2  0.0494
  44 L3M5  0.8102
  44 L2M4  0.9068
  44 L1M3  0.5262
  44 L2N4  0.0597
  44 L3M1  0.0333
  45  KL3  0.5422
  45  KL2  0.2857
  45  KM3  0.0968
  45  KM2  0.0498
  45 L3M5  0.8001
  45 L2M4  0.8958
  45 L1M3  0.5219
  45 L2N4  0.0707
  45 L3M1  0.0329
  46  KL3  0.5403
  46  KL2  0.2858
  46  KM3  0.0975
  46  KM2  0.0502
  46 L3M5  0.7879
  46 L2M4  0.8848
  46 L1M3  0.5197
  46 L2N4  0.0845
  46 L3M1  0.0326
  47  KL3  0.5386
  47  KL2  0.2858
  47  KM3  0.0982
  47  KM2  0.0505
  47 L3M5  0.7815
  47 L2M4  0.8762
  47 L1M3  0.5157
  47 L2N4  0.0933
  47 L3M1  0.0323
  48  KL3  0.5362
  48  KL2  0.2852
  48  KM3  0.0988
  48  KM2  0.0508
  48 L3M5  0.7739
  48 L2M4  0.8678
  48 L1M3  0.5114
  48 L2N4  0.1010
  48 L3M1  0.0321
  49  KL3  0.5348
  49  KL2  0.2850
  49  KM3  0.0994
  49  KM2  0.0511
  49 L3M5  0.7682
  49 L2M4  0.8611
  49 L1M3  0.5059
  49 L2N4  0.1082
  49 L3M1  0.0319
  50  KL3  0.5329
  50  KL2  0.2848
  50  KM3  0.1000
  50  KM2  0.0513
  50 L3M5  0.7622
  50 L2M4  0.8543
  50 L1M3  0.5014
  50 L2N4  0.1145
  50 L3M1  0.0318
  51  KL3  0.5309
  51  KL2  0.2844
  51  KM3  0.1000
  51  KM2  0.0521
  51 L3M5  0.7578
  51 L2M4  0.8488
  51 L1M3  0.4951
  51 L2N4  0.1204
  51 L3M1  0.0317
  52  KL3  0.5282
  52  KL2  0.2837
  52  KM3  0.1010
  52  KM2  0.0518
  52 L3M5  0.7529
  52 L2M4  0.8436
  52 L1M3  0.4899
  52 L2N4  0.1259
  52 L3M1  0.0316
  53  KL3  0.5265
  53  KL2  0.2833
  53  KM3  0.1010
  53  KM2  0.0524
  53 L3M5  0.7484
  53 L2M4  0.8389
  53 L1M3  0.4834
  53 L2N4  0.1308
  53 L3M1  0.0316
  54  KL3  0.5251
  54  KL2  0.2834
  54  KM3  0.1020
  54  KM2  0.0520
  54 L3M5  0.7440
  54 L2M4  0.8344
  54 L1M3  0.4773
  54 L2N4  0.1353
  54 L3M1  0.0316
  55  KL3  0.5235
  55  KL2  0.2832
  55  KM3  0.1020
  55  KM2  0.0525
  55 L3M5  0.7407
  55 L2M4  0.8309
  55 L1M3  0.4716
  55 L2N4  0.1396
  55 L3M1  0.0316
  56  KL3  0.5213
  56  KL2  0.2830
  56  KM3  0.1020
  56  KM2  0.0530
  56 L3M5  0.7366
  56 L2M4  0.8271
  56 L1M3  0.4659
  56 L2N4  0.1440
  56 L3M1  0.0317
  57  KL3  0.5200
  57  KL2  0.2830
  57  KM3  0.1030
  57  KM2  0.0527
  57 L3M5  0.7323
  57 L2M4  0.8232
  57 L1M3  0.4608
  57 L2N4  0.1475
  57 L3M1  0.0318
  58  KL3  0.5187
  58  KL2  0.2831
  58  KM3  0.1030
  58  KM2  0.0534
  58 L3M5  0.7336
  58 L2M4  0.8250
  58 L1M3  0.4604
  58 L2N4  0.1465
  58 L3M1  0.0320
  59  KL3  0.5173
  59  KL2  0.2833
  59  KM3  0.1040
  59  KM2  0.0532
  59 L3M5  0.7314
  59 L2M4  0.8213
  59 L1M3  0.4580
  59 L2N4  0.1473
  59 L3M1  0.0322
  60  KL3  0.5163
