28 M3  0.00000000000000E+0000
28 M4  2.36250000000027E-0003
28 M5  0.00000000000000E+0000
29 K   4.41091000000142E-0001
29 L1  1.59999999999982E-0003
29 L2  5.69999999999737E-0003
29 L3  1.09999999999956E-0002
29 M1  4.09999999999994E-0006
29 M2  1.59999999999882E-0005
29 M3  0.00000000000000E+0000
29 M4  2.44686999999999E-0003
29 M5  0.00000000000000E+0000
30 K   4.69368999999915E-0001
30 L1  1.79999999999936E-0003
30 L2  9.50000000000273E-0003
30 L3  1.20000000000004E-0002
30 M1  4.60000000000044E-0006
30 M2  2.19999999999942E-0005
30 M3  0.00000000000000E+0000
30 M4  2.53125000000054E-0003
30 M5  0.00000000000000E+0000
30 N2  1.02631999999971E-0002
30 N3  1.02631999999971E-0002
31 K   4.96774000000187E-0001
31 L1  2.09999999999866E-0003
31 L2  1.20000000000004E-0002
31 L3  1.30000000000052E-0002
31 M1  6.85000000000269E-0006
31 M2  2.39999999999962E-0005
31 M3  0.00000000000000E+0000
31 M4  2.61563000000109E-0003
31 M5  0.00000000000000E+0000
31 N1  9.78946999999342E-0006
31 N2  1.06052999999946E-0002
31 N3  1.06052999999946E-0002
32 K   5.23312999999689E-0001
32 L1  2.40000000000151E-0003
32 L2  1.30000000000052E-0002
32 L3  1.50000000000005E-0002
32 M1  9.09999999999800E-0006
32 M2  2.59999999999982E-0005
32 M3  0.00000000000000E+0000
32 M4  2.70000000000081E-0003
32 M5  0.00000000000000E+0000
32 N1  1.01052999999934E-0005
32 N2  1.09474000000062E-0002
32 N3  1.09474000000062E-0002
33 K   5.48988999999892E-0001
33 L1  2.80000000000058E-0003
33 L2  1.39999999999957E-0002
33 L3  1.59999999999911E-0002
33 M1  1.90750000000073E-0005
33 M2  3.44999999999929E-0005
33 M3  1.50000000000011E-0005
33 M4  2.70000000000081E-0003
33 M5  0.00000000000000E+0000
33 N1  1.04211000000048E-0005
33 N2  1.12895000000037E-0002
33 N3  1.12895000000037E-0002
34 K   5.73809000000438E-0001
34 L1  3.19999999999965E-0003
34 L2  1.59999999999911E-0002
34 L3  1.80000000000007E-0002
34 M1  2.90500000000027E-0005
34 M2  4.30000000000153E-0005
34 M3  3.00000000000022E-0005
34 M4  2.70000000000081E-0003
34 M5  0.00000000000000E+0000
34 N1  1.07367999999941E-0005
34 N2  1.16316000000011E-0002
34 N3  1.16316000000011E-0002
35 K   5.97778000000289E-0001
35 L1  3.59999999999872E-0003
35 L2  1.80000000000007E-0002
35 L3  2.00000000000102E-0002
35 M1  3.90250000000258E-0005
35 M2  5.14999999999821E-0005
35 M3  4.50000000000172E-0005
35 M4  2.70000000000081E-0003
35 M5  0.00000000000000E+0000
35 N1  1.10526000000055E-0005
35 N2  1.19736999999986E-0002
35 N3  1.19736999999986E-0002
36 K   6.20904000000337E-0001
36 L1  4.10000000000110E-0003
36 L2  2.00000000000102E-0002
36 L3  2.19999999999914E-0002
