1	0.000084
2	0.000166
3	0.534000
4	1.848000
5	2.370000
6	2.000000
7	0.001165
8	0.001332
9	0.001580
10	0.000839
11	0.971000
12	1.740000
13	2.698900
14	2.330000
15	2.200000
16	2.000000
17	0.002995
18	0.001662
19	0.862000
20	1.550000
21	2.989000
22	4.540000
23	6.110000
24	7.180000
25	7.440000
26	7.874000
27	8.900000
28	8.902000
29	8.960000
30	7.133000
31	5.904000
32	5.323000
33	5.730000
34	4.500000
35	0.007072
36	0.003478
37	1.532000
38	2.540000
39	4.469000
40	6.506000
41	8.570000
42	10.220000
43	11.500000
44	12.410000
45	12.410000
46	12.020000
47	10.500000
48	8.650000
49	7.310000
50	7.310000
51	6.691000
52	6.240000
53	4.930000
54	0.005485
55	1.873000
56	3.500000
57	6.154000
58	6.657000
59	6.710000
60	6.900000
61	7.220000
62	7.460000
63	5.243000
64	7.900400
65	8.229000
66	8.550000
67	8.795000
68	9.066000
69	9.321000
70	6.730000
71	9.840000
72	13.310000
73	16.654000
74	19.300000
75	21.020000
76	22.570000
77	22.420000
78	21.450000
79	19.320000
80	13.546000
81	11.720000
82	11.350000
83	9.747000
84	9.320000
85	9.320000
86	0.009066
87	1.000000
88	5.000000
89	10.070000
90	11.720000
91	15.370000
92	18.950000
93	20.250000
94	19.840000
95	13.670000
96	13.510000
97	14.000000
98	10.000000
