
#S 1 L1 Subshell X-ray emission rates.
#U0 File: AP0L1R.DAT received by courtesy of J.L. Campbell
#U1 
#U2 X-ray emission rates for determining relative x-ray line intensities.
#U3 
#U4 Reference: J.L.Campbell and J.X.Wang. Interpolated Dirac-Fock values of L
#U5 subshell X-ray emission rates including overlap and exchange effects. At.Data
#U6 Nucl.Data Tables 43 (1989) 281-291.
#U7 
#N 10
#L Z   L1L3      L1M2      L1M3      L1N2      L1N3      L1O23     L1P23     L1M45     L1N45
68  1.467E-2  3.165E-1  4.327E-1  7.736E-2  1.114E-1  2.568E-2  0         1.903E-2  2.642E-3
69  1.544E-2  3.181E-1  4.296E-1  7.813E-2  1.110E-1  2.535E-2  0         1.975E-2  2.747E-3
70  1.624E-2  3.199E-1  4.264E-1  7.865E-2  1.105E-1  2.508E-2  0         2.046E-2  2.853E-3
71  1.708E-2  3.211E-1  4.218E-1  7.933E-2  1.103E-1  2.629E-2  0         2.117E-2  2.979E-3
72  1.797E-2  3.218E-1  4.174E-1  8.019E-2  1.101E-1  2.753E-2  0         2.189E-2  3.108E-3
73  1.894E-2  3.228E-1  4.130E-1  8.088E-2  1.098E-1  2.867E-2  0         2.262E-2  3.244E-3
74  1.995E-2  3.242E-1  4.082E-1  8.163E-2  1.095E-1  2.976E-2  0         2.337E-2  3.390E-3
75  2.104E-2  3.253E-1  4.032E-1  8.245E-2  1.094E-1  3.085E-2  0         2.414E-2  3.539E-3
76  2.221E-2  3.271E-1  3.980E-1  8.323E-2  1.091E-1  3.181E-2  0         2.491E-2  3.696E-3
77  2.349E-2  3.278E-1  3.936E-1  8.427E-2  1.090E-1  3.222E-2  0         2.576E-2  3.865E-3
78  2.482E-2  3.289E-1  3.885E-1  8.495E-2  1.086E-1  3.352E-2  0         2.657E-2  4.034E-3
79  2.622E-2  3.306E-1  3.831E-1  8.567E-2  1.082E-1  3.452E-2  0         2.741E-2  4.208E-3
80  2.772E-2  3.320E-1  3.780E-1  8.643E-2  1.077E-1  3.577E-2  0         2.801E-2  4.388E-3
81  2.937E-2  3.330E-1  3.725E-1  8.714E-2  1.072E-1  3.705E-2  0         2.914E-2  4.578E-3
82  3.098E-2  3.338E-1  3.665E-1  8.777E-2  1.066E-1  3.827E-2  1.348E-3  2.998E-2  4.761E-3
83  3.282E-2  3.350E-1  3.602E-1  8.864E-2  1.058E-1  3.932E-2  2.384E-3  3.087E-2  4.965E-3
84  3.467E-2  3.358E-1  3.544E-1  8.937E-2  1.049E-1  4.037E-2  3.566E-3  3.177E-2  5.170E-3
85  3.677E-2  3.371E-1  3.479E-1  9.000E-2  1.040E-1  4.129E-2  4.853E-3  3.263E-2  5.378E-3
86  3.891E-2  3.381E-1  3.414E-1  9.081E-2  1.031E-1  4.221E-2  6.237E-3  3.362E-2  5.591E-3
87  4.122E-2  3.390E-1  3.352E-1  9.166E-2  1.022E-1  4.315E-2  7.208E-3  3.459E-2  5.821E-3
88  4.363E-2  3.404E-1  3.288E-1  9.240E-2  1.012E-1  4.401E-2  7.974E-3  3.558E-2  6.057E-3
89  4.625E-2  3.418E-1  3.223E-1  9.317E-2  1.002E-1  4.486E-2  8.554E-3  3.661E-2  6.299E-3
90  4.904E-2  3.430E-1  3.158E-1  9.404E-2  9.912E-2  4.577E-2  9.082E-3  3.762E-2  6.553E-3
91  5.201E-2  3.448E-1  3.098E-1  9.494E-2  9.807E-2  4.623E-2  8.658E-3  3.873E-2  6.821E-3
92  5.517E-2  3.467E-1  3.031E-1  9.571E-2  9.693E-2  4.682E-2  8.692E-3  3.986E-2  7.092E-3
93  5.857E-2  3.481E-1  2.962E-1  9.653E-2  9.591E-2  4.734E-2  9.005E-3  4.102E-2  7.379E-3
94  6.215E-2  3.500E-1  2.894E-1  9.730E-2  9.462E-2  4.782E-2  8.834E-3  4.216E-2  7.670E-3
95  6.215E-2  3.500E-1  2.894E-1  9.730E-2  9.462E-2  4.782E-2  8.834E-3  4.216E-2  7.670E-3
96  6.215E-2  3.500E-1  2.894E-1  9.730E-2  9.462E-2  4.782E-2  8.834E-3  4.216E-2  7.670E-3
97  6.215E-2  3.500E-1  2.894E-1  9.730E-2  9.462E-2  4.782E-2  8.834E-3  4.216E-2  7.670E-3
98  6.215E-2  3.500E-1  2.894E-1  9.730E-2  9.462E-2  4.782E-2  8.834E-3  4.216E-2  7.670E-3
99  6.215E-2  3.500E-1  2.894E-1  9.730E-2  9.462E-2  4.782E-2  8.834E-3  4.216E-2  7.670E-3
100  6.215E-2  3.500E-1  2.894E-1  9.730E-2  9.462E-2  4.782E-2  8.834E-3  4.216E-2  7.670E-3
101  6.215E-2  3.500E-1  2.894E-1  9.730E-2  9.462E-2  4.782E-2  8.834E-3  4.216E-2  7.670E-3
102  6.215E-2  3.500E-1  2.894E-1  9.730E-2  9.462E-2  4.782E-2  8.834E-3  4.216E-2  7.670E-3
103  6.215E-2  3.500E-1  2.894E-1  9.730E-2  9.462E-2  4.782E-2  8.834E-3  4.216E-2  7.670E-3
104  6.215E-2  3.500E-1  2.894E-1  9.730E-2  9.462E-2  4.782E-2  8.834E-3  4.216E-2  7.670E-3
105  6.215E-2  3.500E-1  2.894E-1  9.730E-2  9.462E-2  4.782E-2  8.834E-3  4.216E-2  7.670E-3
106  6.215E-2  3.500E-1  2.894E-1  9.730E-2  9.462E-2  4.782E-2  8.834E-3  4.216E-2  7.670E-3
107  6.215E-2  3.500E-1  2.894E-1  9.730E-2  9.462E-2  4.782E-2  8.834E-3  4.216E-2  7.670E-3
108  6.215E-2  3.500E-1  2.894E-1  9.730E-2  9.462E-2  4.782E-2  8.834E-3  4.216E-2  7.670E-3
109  6.215E-2  3.500E-1  2.894E-1  9.730E-2  9.462E-2  4.782E-2  8.834E-3  4.216E-2  7.670E-3

#S 2 L2 Subshell X-ray emission rates.
#U0 File: AP0L2R.DAT received by courtesy of J.L. Campbell
#U1 
#U2 X-ray emission rates for determining relative x-ray line intensities.
#U3 
#U4 Reference: J.L.Campbell and J.X.Wang. Interpolated Dirac-Fock values of L
#U5 subshell X-ray emission rates including overlap and exchange effects. At.Data
#U6 Nucl.Data Tables 43 (1989) 281-291.
#U7
#N 8 
#L Z   L2M1      L2M4      L2N1      L2N4      L2O1      L2O4      L2P1
1  0         0         0         0         0         0         0
2  0         0         0         0         0         0         0
3  0         0         0         0         0         0         0
4  0         0         0         0         0         0         0
5  0         0         0         0         0         0         0
6  0         0         0         0         0         0         0
7  0         0         0         0         0         0         0
8  0         0         0         0         0         0         0
9  0         0         0         0         0         0         0
10  0         0         0         0         0         0         0
11  0         0         0         0         0         0         0
12  0         0         0         0         0         0         0
13  0         0         0         0         0         0         0
14  0         0         0         0         0         0         0
15  0         0         0         0         0         0         0
16  0         0         0         0         0         0         0
17  0         0         0         0         0         0         0
18  1         0         0         0         0         0         0
19  1         0         0         0         0         0         0
20  1         0         0         0         0         0         0
21  1         0         0         0         0         0         0
22  1         0         0         0         0         0         0
23  1         0         0         0         0         0         0
24  1         0         0         0         0         0         0
25  1         0         0         0         0         0         0
26  8.246E-2  9.103E-1  7.201E-3  0         0         0         0
27  6.939E-2  9.248E-1  5.859E-3  0         0         0         0
28  5.949E-2  9.358E-1  4.745E-3  0         0         0         0
29  5.044E-2  9.481E-1  1.433E-3  0         0         0         0
30  4.609E-2  9.507E-1  3.200E-3  0         0         0         0
