
#S 1 L1 x-ray emission rates
#N 20
#L Z  TOTAL  L1L2  L1L3  L1M1  L1M2  L1M3  L1M4  L1M5  L1N1  L1N2  L1N3  L1N4  L1N5  L1N67  L1O1  L1O2  L1O3  L1O45  L1P23
44  0.053277  0.00089532  0.0073953  1.0549e-007  0.31233  0.53044  0.0029844  0.0044466  2.9281e-008  0.051992  0.089157  0.00014622  0.00021773  0  1.1187e-009  0  0  0  0  
45  0.060182  0.00082749  0.0073776  2.2931e-008  0.31239  0.52674  0.0031372  0.0046775  3.4894e-008  0.053338  0.091057  0.00018444  0.00027583  0  1.2944e-009  0  0  0  0  
46  0.067699  0.00076663  0.0074004  1.4225e-007  0.31271  0.52438  0.003297  0.0049188  3.2349e-008  0.054211  0.09173  0.00023634  0.00035008  0  0  0  0  0  0  
47  0.076097  0.00071225  0.0074378  1.6426e-007  0.31249  0.52039  0.0034535  0.0051513  4.8885e-008  0.05585  0.093827  0.00027596  0.00041132  0  1.6952e-009  0  0  0  0  
48  0.085261  0.0006615  0.0075064  1.8883e-007  0.31222  0.51607  0.0036125  0.0053835  5.7823e-008  0.057588  0.096176  0.0003155  0.0004715  0  4.9026e-009  0  0  0  0  
49  0.095345  0.00061671  0.007583  2.1711e-007  0.31181  0.51078  0.0037758  0.0056322  6.8173e-008  0.059154  0.098484  0.0003566  0.0005349  0  7.2579e-009  0.00050134  0.00076984  0  0  
50  0.10658  0.0005733  0.0076753  2.4771e-007  0.31058  0.50575  0.0039221  0.005855  7.985e-008  0.060708  0.1004  0.00039597  0.00059676  0  9.6646e-009  0.0013878  0.00216  0  0  
51  0.11885  0.00053513  0.0077829  2.8187e-007  0.30963  0.49979  0.0040808  0.0060917  9.3395e-008  0.062179  0.10223  0.00043584  0.00065882  0  1.2453e-008  0.0025663  0.0040135  0  0  
52  0.13236  0.00049939  0.0079026  3.1958e-007  0.30824  0.4941  0.0042384  0.0063236  1.0879e-007  0.063462  0.10381  0.00047521  0.00071924  0  1.5714e-008  0.0039891  0.0062404  0  0  
53  0.14638  0.00046865  0.0080887  3.6413e-007  0.30811  0.48573  0.0044133  0.0065926  1.2639e-007  0.065037  0.10575  0.00051716  0.00078428  0  1.9539e-008  0.0056635  0.0088402  0  0  
54  0.16302  0.00043676  0.008226  4.0916e-007  0.30549  0.48154  0.0045516  0.0068029  1.4538e-007  0.065882  0.10655  0.00055392  0.00084162  0  2.374e-008  0.0074899  0.011637  0  0  
55  0.18033  0.00040982  0.0084181  4.6194e-007  0.30445  0.47581  0.0047137  0.0070428  1.6748e-007  0.067046  0.10775  0.00059393  0.00090448  0  2.9835e-008  0.0088839  0.01398  0  0  
56  0.19886  0.0003852  0.0086393  5.2298e-007  0.30373  0.47018  0.0048879  0.0073017  1.926e-007  0.068239  0.10897  0.00063512  0.00096953  0  3.7061e-008  0.010113  0.015941  0  0  
57  0.21864  0.0003627  0.0089006  5.8545e-007  0.30324  0.46515  0.0050678  0.0075696  2.2091e-007  0.069476  0.11018  0.00067784  0.0010364  0  4.496e-008  0.011027  0.017289  1.2807e-005  0  
58  0.23831  0.00034325  0.0092359  6.672e-007  0.30549  0.4641  0.0052915  0.0079099  2.5135e-007  0.069909  0.10982  0.00070077  0.0010717  4.7837e-007  4.8257e-008  0.010268  0.015862  0  0  
59  0.25938  0.00032578  0.0096038  7.518e-007  0.30496  0.46226  0.0055209  0.0082544  2.8684e-007  0.070823  0.1103  0.00073522  0.0011258  8.5204e-007  5.4746e-008  0.010317  0.015769  0  0  
60  0.28313  0.00030834  0.0099601  8.4766e-007  0.30763  0.45845  0.0057288  0.0085649  3.2494e-007  0.071345  0.1102  0.00076608  0.0011761  1.3209e-006  6.1809e-008  0.010299  0.015576  0  0  
61  0.30774  0.00029245  0.010366  9.521e-007  0.30903  0.45558  0.0059563  0.0089101  3.6719e-007  0.072009  0.11016  0.0007997  0.0012283  1.9042e-006  6.9539e-008  0.010301  0.01537  0  0  
62  0.33394  0.0002779  0.01081  1.0691e-006  0.31024  0.45278  0.0061928  0.0092532  4.1624e-007  0.072678  0.1102  0.00083369  0.0012817  2.6172e-006  7.8158e-008  0.010271  0.015182  0  0  
63  0.36174  0.00026455  0.011306  1.1998e-006  0.31182  0.44977  0.0064328  0.0096201  4.6995e-007  0.073312  0.11002  0.00086802  0.0013352  3.4555e-006  8.7632e-008  0.010256  0.014983  0  0  
64  0.39222  0.00025165  0.011805  1.3411e-006  0.31233  0.44567  0.0066621  0.009969  5.3032e-007  0.074092  0.11014  0.00091021  0.0014048  4.2069e-006  1.0249e-007  0.010912  0.015833  1.3003e-005  0  
65  0.42254  0.00024022  0.012378  1.5052e-006  0.31477  0.44398  0.006939  0.01039  5.964e-007  0.07455  0.10958  0.00093956  0.0014508  5.6563e-006  1.0958e-007  0.010224  0.014555  0  0  
66  0.45583  0.00022925  0.012987  1.6804e-006  0.31634  0.44095  0.0071956  0.010771  6.691e-007  0.075247  0.10925  0.00097843  0.0015093  7.0201e-006  1.2197e-007  0.010201  0.014325  0  0  
67  0.4909  0.00021919  0.013648  1.8761e-006  0.31799  0.43797  0.0073538  0.011183  7.4964e-007  0.075779  0.10898  0.0010165  0.0015706  8.576e-006  1.3587e-007  0.010185  0.014096  0  0  
68  0.52812  0.00020961  0.014334  2.0829e-006  0.31963  0.43475  0.0077445  0.011607  8.3883e-007  0.076309  0.10869  0.0010547  0.0016322  1.0376e-005  1.511e-007  0.010149  0.01388  0  0  
69  0.56737  0.00020058  0.015105  2.3265e-006  0.32131  0.43147  0.0080371  0.012038  9.3767e-007  0.077022  0.10822  0.0010945  0.0016973  1.2408e-005  1.6779e-007  0.010135  0.01366  0  0  
70  0.60871  0.00019221  0.015902  2.5956e-006  0.32314  0.42828  0.0082305  0.012469  1.0481e-006  0.077541  0.10777  0.0011368  0.0017627  1.472e-005  1.8564e-007  0.01012  0.013438  0  0  
71  0.65376  0.00018401  0.016749  2.8757e-006  0.32412  0.42386  0.0086117  0.012895  1.1686e-006  0.078163  0.10753  0.0011854  0.0018401  1.6979e-005  2.1415e-007  0.010707  0.014118  1.2252e-005  0  
