
#S 1 L1 x-ray emission rates
#N 20
#L Z  TOTAL  L1L2  L1L3  L1M1  L1M2  L1M3  L1M4  L1M5  L1N1  L1N2  L1N3  L1N4  L1N5  L1N67  L1O1  L1O2  L1O3  L1O45  L1P23
39  0.039831  7.4062e-008  0.032638  8.5862e-009  0.00020888  0.95653  1.6896e-006  0.0050864  1.5089e-009  2.8872e-005  0.0050312  9.1134e-009  0  0.00047199  0  0  0  0  0  0  0  
40  0.047303  8.7098e-008  0.031203  9.8937e-009  0.00021563  0.95132  1.8667e-006  0.00508  1.8625e-009  3.1499e-005  0.01167  2.3889e-008  0  0.00047989  0  0  0  0  0  0  0  
41  0.055096  9.2565e-008  0.029222  1.1525e-008  0.00022325  0.94199  2.0873e-006  0.0050675  2.2688e-009  3.3941e-005  0.023268  5.3724e-008  0  0.00019784  0  0  0  0  0  0  0  
42  0.063786  2.8847e-008  0.029521  1.342e-008  0.00023359  0.93281  2.3203e-006  0.0050952  2.7592e-009  3.6842e-005  0.032107  8.3718e-008  0  0.0001944  0  0  0  0  0  0  0  
43  0.073586  1.4541e-007  0.028756  1.5492e-008  0.00024189  0.92409  2.5684e-006  0.0050961  3.3294e-009  3.9682e-005  0.041584  1.2163e-007  0  0.0001889  0  0  0  0  0  0  0  
44  0.084492  1.7161e-007  0.028062  1.799e-008  0.0002521  0.91488  2.8405e-006  0.0050893  4.0004e-009  4.2608e-005  0.051484  1.6925e-007  0  0.00018345  0  0  0  0  0  0  0  
45  0.096648  2.0176e-007  0.027419  2.0694e-008  0.00026177  0.90535  3.1351e-006  0.0050803  4.7595e-009  4.5423e-005  0.061667  2.2556e-007  0  0.00017693  0  0  0  0  0  0  0  
46  0.11045  2.363e-007  0.026735  2.363e-008  0.0002707  0.8936  3.4404e-006  0.0050157  5.5589e-009  4.7713e-005  0.074331  3.0149e-007  0  0  0  0  0  0  0  0  0  
47  0.12524  2.7626e-007  0.026189  2.7147e-008  0.00028185  0.88548  3.3056e-006  0.0050302  6.6032e-009  5.1101e-005  0.082799  3.7527e-007  0  0.00016368  0  0  0  0  0  0  0  
48  0.14145  3.2308e-007  0.025733  3.1036e-008  0.00029268  0.87805  4.1499e-006  0.0050477  7.8473e-009  5.479e-005  0.09042  4.5528e-007  0  0.00039943  0  0  0  0  0  0  0  
49  0.15924  3.7743e-007  0.025308  3.5419e-008  0.00030332  0.87104  4.5404e-006  0.005068  9.2316e-009  5.8718e-005  0.097717  5.4636e-007  0  0.0005024  8.164e-011  4.597e-007  0  0  0  0  0  
50  0.17858  4.3902e-007  0.024919  4.0374e-008  0.00031526  0.86459  4.9333e-006  0.0050957  1.0919e-008  6.2717e-005  0.10443  6.4396e-007  0  0.00057397  2.6095e-010  1.3551e-006  0  0  0  0  0  
51  0.19969  5.1079e-007  0.024538  4.5971e-008  0.00032701  0.85883  5.4084e-006  0.0051229  1.282e-008  6.7104e-005  0.11047  7.5617e-007  0  0.00063398  5.5586e-010  2.6391e-006  0  0  0  0  0  
52  0.22252  5.9322e-007  0.024223  5.2131e-008  0.0003393  0.85343  5.9322e-006  0.0051592  1.501e-008  7.1456e-005  0.11608  8.7185e-007  0  0.00068804  9.9319e-010  4.3143e-006  0  0  0  0  0  
53  0.24726  6.8752e-007  0.023942  5.9046e-008  0.00035225  0.84848  6.4708e-006  0.0051888  1.7512e-008  7.6436e-005  0.12121  1.003e-006  0  0.00073727  1.6096e-009  6.3899e-006  0  0  0  0  0  
54  0.27396  7.7018e-007  0.023689  6.7162e-008  0.00036538  0.84391  7.0083e-006  0.0052233  2.0368e-008  8.1033e-005  0.12593  1.1425e-006  0  0.00078332  2.4456e-009  8.8698e-006  0  0  0  0  0  
55  0.30291  7.1639e-007  0.02344  7.5601e-008  0.00037866  0.83953  7.6261e-006  0.0052557  2.3605e-008  8.6165e-005  0.1304  1.2974e-006  0  0.0008567  3.3013e-009  1.1192e-005  2.7632e-005  0  0  0  0  
56  0.33413  1.0535e-006  0.023195  8.5297e-008  0.00039236  0.83501  8.2902e-006  0.0052914  2.7295e-008  9.1282e-005  0.13498  1.4665e-006  0  0.00092779  4.3097e-009  1.3348e-005  9.0684e-005  0  0  0  0  
57  0.36849  1.2103e-006  0.022931  9.6067e-008  0.00040571  0.83041  8.9554e-006  0.0052945  3.1479e-008  9.6338e-005  0.13867  1.6445e-006  0  0.00097966  5.3189e-009  1.5116e-005  0.0010828  0.00010339  0  0  0  
58  0.40258  1.3985e-006  0.022877  1.088e-007  0.00042302  0.83213  9.7869e-006  0.0053008  3.5521e-008  0.00010035  0.13811  1.786e-006  1.4208e-005  0.00092653  5.5641e-009  1.4482e-005  0  8.6443e-005  0  0  0  
59  0.43936  1.6092e-006  0.022806  1.2268e-007  0.00043996  0.83075  1.0652e-005  0.0053145  4.0741e-008  0.00010515  0.13952  1.9642e-006  2.4126e-005  0.0009218  6.3046e-009  1.5045e-005  0  8.4213e-005  0  0  0  
60  0.47961  1.8473e-006  0.022685  1.3803e-007  0.00045641  0.82984  1.1551e-005  0.0053168  4.6079e-008  0.00010988  0.14053  2.1476e-006  3.6071e-005  0.00091741  7.1099e-009  1.5533e-005  0  8.1941e-005  0  0  0  
61  0.52229  2.1253e-006  0.022612  1.5489e-007  0.000462  0.82904  1.2503e-005  0.0052059  5.227e-008  0.00011469  0.14149  2.355e-006  4.9972e-005  0.00091137  7.9649e-009  1.6026e-005  0  7.9649e-005  0  0  0  
62  0.56807  2.4293e-006  0.021459  1.7269e-007  0.00049078  0.82912  1.3537e-005  0.0053162  5.8971e-008  0.00011953  0.14241  2.5701e-006  6.6013e-005  0.00090481  8.9073e-009  1.6494e-005  0  7.7631e-005  0  0  0  
63  0.61739  1.7979e-006  0.022417  1.9437e-007  0.0005086  0.82768  1.461e-005  0.0053127  6.6409e-008  0.0001244  0.14286  2.7859e-006  8.3902e-005  0.00089733  9.9452e-009  1.7007e-005  0  7.548e-005  0  0  0  
64  0.67024  3.1481e-006  0.02229  2.1634e-007  0.00052518  0.82507  1.5666e-005  0.0052369  7.5047e-008  0.0001298  0.14472  3.0586e-006  9.7875e-005  0.0009325  1.1832e-008  1.865e-005  0.00086386  8.6386e-005  0  0  0  
65  0.72369  3.5927e-006  0.022289  2.432e-007  0.00054443  0.82632  1.6996e-005  0.00532  8.4152e-008  0.00013459  0.14426  3.2887e-006  0.00012657  0.00088574  1.2326e-008  1.7825e-005  0  7.1854e-005  0  0  0  
66  0.78215  4.0913e-006  0.022234  2.7105e-007  0.00056383  0.82593  1.8411e-005  0.0052548  9.4356e-008  0.00013974  0.14473  3.5543e-006  0.00015112  0.00087963  1.368e-008  1.8283e-005  0  7.0064e-005  0  0  0  
67  0.84283  4.651e-006  0.021511  3.0255e-007  0.00058375  0.82579  1.9814e-005  0.0053392  1.0583e-007  0.00014522  0.14546  3.8561e-006  0.00017845  0.00087562  1.5187e-008  1.8746e-005  0  6.8578e-005  0  0  0  
68  0.90937  4.6076e-006  0.022158  3.365e-007  0.00060261  0.82475  2.1223e-005  0.0053334  1.1766e-007  0.00015043  0.14582  4.1567e-006  0.00020751  0.00086983  1.6825e-008  1.9244e-005  0  6.6969e-005  0  0  0  
69  0.97794  5.9717e-006  0.022138  3.7426e-007  0.00062274  0.82418  2.2905e-005  0.005348  1.3191e-007  0.00015594  0.14633  4.489e-006  0.00023948  0.00086509  1.8611e-008  1.9633e-005  0  6.5546e-005  0  0  0  
70  1.0513  6.7628e-006  0.022115  4.1471e-007  0.00064299  0.82371  2.454e-005  0.005355  1.4743e-007  0.00016151  0.14676  4.8414e-006  0.00027365  0.00085985  2.064e-008  2.0165e-005  0  6.4108e-005  0  0  0  
71  1.1303  7.6354e-006  0.022057  4.5918e-007  0.00066268  0.82193  2.6277e-005  0.0053616  1.6456e-007  0.00016757  0.14784  5.2377e-006  0.00030435  0.00088917  2.4154e-008  2.203e-005  0.00064852  7.5646e-005  0  0  0  
72  1.2133  8.5715e-006  0.021519  5.0358e-007  0.00068243  0.82006  2.8187e-005  0.0053819  1.8297e-007  0.0001739  0.14918  5.6786e-006  0.00033544  0.00091979  2.8105e-008  2.3984e-005  0.001594  8.3408e-005  0  0  0  
73  1.3032  9.6685e-006  0.021938  5.6093e-007  0.00070135  0.81722  3.008e-005  0.0053867  2.0411e-007  0.00018017  0.15032  6.131e-006  0.00036679  0.00094843  3.2689e-008  2.5936e-005  0.0027778  8.9318e-005  0  0  0  
74  1.3972  1.0879e-005  0.0219  6.1907e-007  0.00072142  0.81446  3.2135e-005  0.0054035  2.2687e-007  0.0001868  0.15158  6.6345e-006  0.00040007  0.00097835  3.7789e-008  2.7984e-005  0.004194  9.4114e-005  0  0  0  
75  1.4966  1.2227e-005  0.021448  6.8153e-007  0.000741  0.81182  3.4277e-005  0.0054188  2.519e-007  0.00019357  0.15294  7.1494e-006  0.00043297  0.0010076  4.3565e-008  3.0134e-005  0.0058064  9.8087e-005  0  0  0  
76  1.6032  1.3723e-005  0.021769  7.4852e-007  0.00076037  0.8084  3.649e-005  0.005433  2.7945e-007  0.00020023  0.15413  7.7347e-006  0.00046658  0.0010355  4.9964e-008  3.2249e-005  0.0076099  0.00010124  0  0  0  
77  1.7183  1.5306e-005  0.021649  8.2639e-007  0.00077925  0.80428  3.8817e-005  0.0054414  3.0902e-007  0.00020718  0.15509  8.3221e-006  0.00049933  0.0010528  5.6334e-008  3.3638e-005  0.0109  0  0  0  0  
78  1.8359  1.7158e-005  0.021625  9.042e-007  0.00079962  0.80125  4.1343e-005  0.0054633  3.4262e-007  0.00021407  0.15638  8.9876e-006  0.0005349  0.0010834  6.4819e-008  3.6168e-005  0.01249  4.6517e-005  0  0  0  
79  1.9617  1.9167e-005  0.021563  9.9404e-007  0.00081614  0.79778  4.3942e-005  0.00548  3.7876e-007  0.00022175  0.15752  9.6856e-006  0.00056992  0.0010787  7.3406e-008  3.8436e-005  0.014809  4.7255e-005  0  0  0  
80  2.0935  2.14e-005  0.021543  1.0891e-006  0.00083927  0.79485  4.6716e-005  0.005498  4.1892e-007  0.00022881  0.15859  1.0413e-005  0.00060569  0.0011393  8.407e-008  4.1128e-005  0.01648  0.00010934  0  0  0  
81  2.2315  2.393e-005  0.02151  1.1965e-006  0.00086041  0.79185  4.9653e-005  0.0055165  4.6157e-007  0.00023661  0.15998  1.1158e-005  0.00064217  0.0011692  9.59e-008  4.3962e-005  0.01797  0.00013413  3.482e-007  0  0  
82  2.3714  2.6735e-005  0.021506  1.3115e-006  0.00088302  0.79067  5.2838e-005  0.0055536  5.1446e-007  0.00024542  0.16151  1.206e-005  0.00068103  0.0012031  1.0922e-007  4.685e-005  0.017458  0.00015392  1.0289e-006  0  0  
83  2.5316  2.9704e-005  0.021449  1.4339e-006  0.00090179  0.78566  5.5932e-005  0.0055616  5.6485e-007  0.00025241  0.16235  1.2877e-005  0.00071653  0.0012285  1.2364e-007  4.981e-005  0.021567  0.00017064  2.0066e-006  0  0  
84  2.6914  3.3105e-005  0.021402  1.5717e-006  0.00092331  0.78286  5.9374e-005  0.0055882  6.205e-007  0.00026083  0.16348  1.3859e-005  0.000755  0.0012596  1.4045e-007  5.3281e-005  0.023111  0.00018726  3.2771e-006  0  0  
85  2.8602  3.685e-005  0.021397  1.7167e-006  0.00094468  0.78001  6.2967e-005  0.0056115  6.8526e-007  0.00026921  0.16467  1.4859e-005  0.00077267  0.0012901  1.5873e-007  5.6604e-005  0.024648  0.00020348  4.8248e-006  0  0  
86  3.038  4.0981e-005  0.021396  1.8795e-006  0.00096642  0.77715  6.6721e-005  0.0056386  7.5378e-007  0.00027781  0.1659  1.5931e-005  0.00083245  0.0013232  1.7939e-007  5.9973e-005  0.026103  0.00021922  6.682e-006  0  0  
87  3.2227  4.5552e-005  0.021379  2.0542e-006  0.00098985  0.7745  7.0748e-005  0.005666  8.316e-007  0.00028671  0.16694  1.7066e-005  0.00087225  0.0013529  2.0231e-007  6.3332e-005  0.027554  0.00024141  6.6404e-006  0  8.4401e-006  
88  3.4177  5.0618e-005  0.021388  2.2442e-006  0.0010094  0.77186  7.4962e-005  0.0056938  9.1289e-007  0.00029552  0.16795  1.8287e-005  0.00091289  0.001384  2.2764e-007  6.715e-005  0.028996  0.00026333  1.0124e-005  0  2.6889e-005  
89  3.6226  5.6202e-005  0.021393  2.4513e-006  0.0010324  0.76878  7.9362e-005  0.0057224  1.0048e-006  0.00030475  0.16921  1.9571e-005  0.00095235  0.0014133  2.5562e-007  7.0695e-005  0.030392  0.0002835  1.1566e-005  0.00023712  3.2711e-005  
90  3.8371  6.2365e-005  0.021396  2.6843e-006  0.0010555  0.76594  8.3918e-005  0.0057491  1.105e-006  0.00031378  0.17018  2.0927e-005  0.00099294  0.0014412  2.8667e-007  7.4666e-005  0.031743  0.00030231  1.2979e-005  0.00058586  3.7216e-005  
91  4.0575  6.9254e-005  0.021417  2.9328e-006  0.0010795  0.76402  8.8971e-005  0.0057843  1.215e-006  0.0003236  0.17153  2.2378e-005  0.0010327  0.0014664  3.2039e-007  7.788e-005  0.032483  0.00030068  1.2865e-005  0.00025213  3.3272e-005  
92  4.2882  7.6955e-005  0.021454  3.1948e-006  0.001103  0.76185  9.4211e-005  0.0058182  1.3339e-006  0.00033347  0.17256  2.3926e-005  0.0010727  0.0014948  3.5679e-007  8.1619e-005  0.033417  0.00030782  1.3455e-005  0.00025488  3.3324e-005  
93  4.53  8.521e-005  0.021479  3.4879e-006  0.001128  0.75961  9.978e-005  0.0058543  1.4658e-006  0.00034349  0.17373  2.5585e-005  0.0011126  0.001521  3.9735e-007  8.521e-005  0.034305  0.00031413  1.3996e-005  0.00025585  3.3289e-005  
94  4.7805  9.4551e-005  0.021525  3.8071e-006  0.0011526  0.75787  0.00010564  0.0058927  1.6086e-006  0.00035394  0.17488  2.734e-005  0.0011547  0.0015459  4.4138e-007  8.8693e-005  0.034954  0.00031126  1.3722e-005  0  2.8365e-005  
95  5.0433  0.00010489  0.021573  4.164e-006  0.0011778  0.75586  0.00011183  0.0059307  1.7667e-006  0.00036444  0.17588  2.9187e-005  0.0011956  0.0015704  4.9174e-007  9.24e-005  0.03575  0.00031666  1.4177e-005  0  2.8156e-005  
96  5.3199  0.00011598  0.021617  4.549e-006  0.001203  0.7534  0.00011824  0.0059588  1.9361e-006  0.00037482  0.17688  3.1147e-005  0.001235  0.0015978  5.4513e-007  9.6431e-005  0.03673  0.00033102  1.5508e-005  0.00025076  3.3027e-005  
97  5.6062  0.00012861  0.021672  4.9588e-006  0.0012272  0.75131  0.00012504  0.0060112  2.1226e-006  0.00038564  0.17802  3.3231e-005  0.0012754  0.0016214  6.0647e-007  0.00010025  0.037458  0.00033588  1.5982e-005  0.0002474  3.2928e-005  
98  5.9011  0.00014252  0.021742  5.4058e-006  0.001254  0.74969  0.00013218  0.0060497  2.3385e-006  0.00039704  0.17912  3.5468e-005  0.001315  0.0016455  6.7106e-007  0.00010388  0.037993  0.00033163  1.5506e-005  0  2.7554e-005  
99  6.2109  0.00015779  0.021817  5.909e-006  0.00128  0.74772  0.00013975  0.0060861  2.56e-006  0.00040832  0.18017  3.7821e-005  0.0013557  0.00166  7.4386e-007  0.00010788  0.038674  0.00033618  1.5924e-005  0  2.7355e-005  
100  6.5273  0.0001748  0.021908  6.4499e-006  0.0013084  0.74641  0.00014799  0.0061434  2.8036e-006  0.00042024  0.18139  4.0338e-005  0.0013957  0.0016868  8.2423e-007  0.00011199  0.038469  0.00034103  1.6347e-005  0  2.7194e-005  
101  6.8664  0.0001934  0.021977  7.0488e-006  0.001334  0.74391  0.00015627  0.006175  3.0729e-006  0.00043167  0.18219  4.2963e-005  0.0014345  0.00172  9.1023e-007  0.00011593  0.039919  0.0003453  1.6734e-005  0  2.7001e-005  
102  7.2153  0.00021413  0.02205  7.692e-006  0.001361  0.7419  0.0001652  0.0062229  3.3678e-006  0.0004435  0.18322  4.5736e-005  0.0014719  0.0017449  1.0076e-006  0.00012002  0.040636  0.00034981  1.713e-005  0  2.6846e-005  
103  7.5795  0.00023696  0.022139  8.3911e-006  0.0013893  0.73963  0.00017455  0.0062669  3.6942e-006  0.00045518  0.18418  4.8816e-005  0.0015107  0.0017693  1.1149e-006  0.00012455  0.041428  0.00036348  1.8682e-005  0.00021703  3.2733e-005  
104  7.899  0.00026409  0.022395  9.2417e-006  0.0014268  0.74301  0.00018572  0.0063553  4.0765e-006  0.00039625  0.17888  5.2285e-005  0.0015597  0.0018091  1.2419e-006  0.00013014  0.042537  0.00038106  2.0395e-005  0.00054184  3.7245e-005  
105  7.899  0.00026409  0.022395  9.2417e-006  0.0014268  0.74301  0.00018572  0.0063553  4.0765e-006  0.00039625  0.17888  5.2285e-005  0.0015597  0.0018091  1.2419e-006  0.00013014  0.042537  0.00038106  2.0395e-005  0.00054184  3.7245e-005  
106  7.899  0.00026409  0.022395  9.2417e-006  0.0014268  0.74301  0.00018572  0.0063553  4.0765e-006  0.00039625  0.17888  5.2285e-005  0.0015597  0.0018091  1.2419e-006  0.00013014  0.042537  0.00038106  2.0395e-005  0.00054184  3.7245e-005  
107  7.899  0.00026409  0.022395  9.2417e-006  0.0014268  0.74301  0.00018572  0.0063553  4.0765e-006  0.00039625  0.17888  5.2285e-005  0.0015597  0.0018091  1.2419e-006  0.00013014  0.042537  0.00038106  2.0395e-005  0.00054184  3.7245e-005  
108  7.899  0.00026409  0.022395  9.2417e-006  0.0014268  0.74301  0.00018572  0.0063553  4.0765e-006  0.00039625  0.17888  5.2285e-005  0.0015597  0.0018091  1.2419e-006  0.00013014  0.042537  0.00038106  2.0395e-005  0.00054184  3.7245e-005  
109  7.899  0.00026409  0.022395  9.2417e-006  0.0014268  0.74301  0.00018572  0.0063553  4.0765e-006  0.00039625  0.17888  5.2285e-005  0.0015597  0.0018091  1.2419e-006  0.00013014  0.042537  0.00038106  2.0395e-005  0.00054184  3.7245e-005  

#S 3 L3 x-ray emission rates
#N 22
#L Z  TOTAL  L3M1  L3M2  L3M3  L3M4  L3M5  L3N1  L3N2  L3N3  L3N4  L3N5  L3N6  L3N7  L3O1  L3O2  L3O3  L3O45  L3P1  L3P23  L3P45  L3Q1
1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
6  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
7  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
8  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
9  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
10  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
11  1.93e-007  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
12  1.15e-006  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
13  2.11e-006  0.99999  7.0141e-006  6.9193e-006  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
14  4.9502e-006  0.99996  1.9312e-005  1.905e-005  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
15  8.0707e-006  0.99991  4.411e-005  4.3491e-005  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
16  1.2302e-005  0.99984  8.2913e-005  8.1287e-005  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
17  1.7805e-005  0.99973  0.0001376  0.00013536  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
18  2.481e-005  0.99958  0.00021322  0.00020919  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
19  3.6282e-005  0.97569  0.00027562  0.00027176  0  0  0.023758  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
20  5.2775e-005  0.92847  0.00033349  0.00032781  0  0  0.070867  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
21  0.00013888  0.46081  0.00019945  0.00019585  0.050617  0.45289  0.035281  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
22  0.00028762  0.2844  0.00014568  0.00014255  0.069883  0.62408  0.021347  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
23  0.00051963  0.19783  0.00011835  0.00011566  0.079287  0.70819  0.014453  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
24  0.00091635  0.13674  9.3414e-005  9.1122e-005  0.086757  0.77263  0.0036886  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
25  0.0013321  0.11688  9.2332e-005  8.933e-005  0.088204  0.7867  0.0080322  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
26  0.0019731  0.095533  8.5144e-005  8.261e-005  0.090617  0.80735  0.0063351  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
27  0.0028172  0.080256  8.022e-005  7.7736e-005  0.09236  0.82208  0.0051469  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
28  0.0039018  0.068968  7.6888e-005  7.4325e-005  0.093803  0.83295  0.0041263  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
29  0.005387  0.058474  7.184e-005  6.9241e-005  0.095415  0.84463  0.0013403  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
30  0.0070058  0.053242  7.2654e-005  6.9942e-005  0.095635  0.84787  0.0031117  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
31  0.0089321  0.049372  7.4339e-005  7.1428e-005  0.095834  0.85086  0.0037841  4.467e-007  4.2095e-007  0  0  0  0  0  0  0  0  0  0  0  0  
32  0.011182  0.046503  7.6909e-005  7.369e-005  0.096047  0.85316  0.0041406  1.3236e-006  1.252e-006  0  0  0  0  0  0  0  0  0  0  0  0  
33  0.01379  0.044235  7.9768e-005  7.6867e-005  0.096229  0.85497  0.004409  2.5816e-006  2.4438e-006  0  0  0  0  0  0  0  0  0  0  0  0  
34  0.01678  0.04249  8.3431e-005  7.9855e-005  0.096363  0.85636  0.0046185  4.2073e-006  3.9928e-006  0  0  0  0  0  0  0  0  0  0  0  0  
35  0.0202  0.04109  8.7625e-005  8.3665e-005  0.096487  0.85744  0.0047971  6.2377e-006  5.8912e-006  0  0  0  0  0  0  0  0  0  0  0  0  
36  0.024082  0.039947  9.2185e-005  8.7618e-005  0.096587  0.85832  0.0049498  8.5957e-006  8.1804e-006  0  0  0  0  0  0  0  0  0  0  0  0  
37  0.028507  0.039008  9.6819e-005  9.2258e-005  0.096608  0.85874  0.0052864  1.0769e-005  1.0278e-005  0  0  0  0  0.00014768  0  0  0  0  0  0  0  
38  0.033502  0.038207  0.00010208  9.7011e-005  0.096712  0.85877  0.0056057  1.2805e-005  1.2268e-005  0  0  0  0  0.00048356  0  0  0  0  0  0  0  
39  0.039297  0.037357  0.00010688  0.00010154  0.096192  0.85504  0.0057842  1.4454e-005  1.3869e-005  0.00049368  0.0043643  0  0  0.0005344  0  0  0  0  0  0  0  
40  0.045792  0.036644  0.00011181  0.00010613  0.09565  0.8495  0.0059268  1.6051e-005  1.5374e-005  0.001164  0.010308  0  0  0.00055905  0  0  0  0  0  0  0  
41  0.053306  0.03585  0.0001165  0.00011031  0.094549  0.84044  0.0059468  1.724e-005  1.649e-005  0.0023149  0.020411  0  0  0.00023262  0  0  0  0  0  0  0  
42  0.061585  0.035236  0.00012146  0.00011496  0.093855  0.833  0.0060405  1.8673e-005  1.7862e-005  0.0031924  0.028173  0  0  0.00023058  0  0  0  0  0  0  0  
43  0.070889  0.034646  0.00012654  0.00011962  0.092962  0.82523  0.006094  2.0172e-005  1.9326e-005  0.004129  0.036423  0  0  0.00022571  0  0  0  0  0  0  0  
44  0.081269  0.034121  0.00013166  0.00012428  0.09204  0.81704  0.0061401  2.1656e-005  2.0672e-005  0.0051065  0.045035  0  0  0.00022149  0  0  0  0  0  0  0  
45  0.09277  0.033632  0.0001369  0.00012935  0.091086  0.80845  0.0061766  2.3068e-005  2.199e-005  0.0061227  0.054005  0  0  0.00021559  0  0  0  0  0  0  0  
46  0.10572  0.033202  0.00014189  0.00013338  0.089959  0.79837  0.0061675  2.4311e-005  2.3081e-005  0.0073689  0.064608  0  0  0  0  0  0  0  0  0  0  
47  0.11962  0.032854  0.00014797  0.00013877  0.089114  0.79083  0.0062363  2.5999e-005  2.4745e-005  0.0082009  0.072228  0  0  0.0002023  0  0  0  0  0  0  0  
48  0.13483  0.032559  0.00015352  0.00014388  0.088406  0.78394  0.006319  2.7812e-005  2.6477e-005  0.0089371  0.078987  0  0  0.00049988  0  0  0  0  0  0  0  
49  0.15151  0.03234  0.00015972  0.00014916  0.087648  0.77748  0.0064086  2.97e-005  2.8314e-005  0.0096492  0.08547  0  0  0.00063426  2.508e-007  2.211e-007  0  0  0  0  0  
50  0.16953  0.032148  0.00016576  0.00015514  0.087007  0.77156  0.0065063  3.1676e-005  3.0261e-005  0.010293  0.091372  0  0  0.00073145  7.1965e-007  6.4886e-007  0  0  0  0  0  
51  0.18913  0.032042  0.00017237  0.00016074  0.086397  0.76615  0.0066093  3.3734e-005  3.2253e-005  0.010876  0.096707  0  0  0.00081585  1.3906e-006  1.2637e-006  0  0  0  0  0  
52  0.21033  0.03195  0.00017877  0.00016688  0.085866  0.76119  0.0067133  3.5896e-005  3.4375e-005  0.011406  0.10156  0  0  0.00089384  2.2489e-006  2.0587e-006  0  0  0  0  0  
53  0.23314  0.031912  0.00018572  0.00017328  0.085355  0.75661  0.0068284  3.8088e-005  3.6501e-005  0.011898  0.10599  0  0  0.00096807  3.307e-006  3.041e-006  0  0  0  0  0  
54  0.25774  0.031893  0.00019322  0.00017964  0.084893  0.75232  0.0069412  4.0351e-005  3.8761e-005  0.012338  0.11011  0  0  0.0010387  4.5783e-006  4.2291e-006  0  0  0  0  0  
55  0.28429  0.031904  0.00020015  0.00018608  0.084456  0.74818  0.0070597  4.2562e-005  4.1155e-005  0.012769  0.11397  0  0  0.0011467  5.6281e-006  5.3115e-006  0  3.6934e-005  0  0  0  
56  0.31284  0.031965  0.00020777  0.00019275  0.084036  0.74414  0.0071761  4.507e-005  4.3472e-005  0.01317  0.11763  0  0  0.0012562  6.6487e-006  6.329e-006  0  0.00012275  0  0  0  
57  0.34382  0.031993  0.00021523  0.00019923  0.083532  0.73963  0.0072916  4.7408e-005  4.5954e-005  0.013524  0.12099  0  0  0.0013437  7.4748e-006  7.1549e-006  0.0010325  0.00014135  0  0  0  
58  0.37473  0.03229  0.0002247  0.00020762  0.083794  0.74107  0.007352  4.9369e-005  4.7501e-005  0.01345  0.12009  2.2309e-006  1.2783e-005  0.0012809  7.2052e-006  6.8316e-006  0  0.00011955  0  0  0  
59  0.40838  0.032519  0.00023361  0.00021573  0.083746  0.73951  0.0074441  5.1668e-005  4.9709e-005  0.013566  0.12121  3.82e-006  2.1818e-005  0.0012905  7.4686e-006  7.0768e-006  0  0.00011754  0  0  0  
60  0.44518  0.032706  0.00024238  0.00022351  0.083338  0.73903  0.0075251  5.3687e-005  5.189e-005  0.013613  0.12175  5.6832e-006  3.2571e-005  0.0012939  7.7048e-006  7.278e-006  0  0.00011546  0  0  0  
61  0.48374  0.032951  0.00025158  0.00023173  0.083308  0.73799  0.0076073  5.6021e-005  5.3954e-005  0.013685  0.12238  7.9174e-006  4.5272e-005  0.0013003  7.9174e-006  7.4833e-006  0  0.0001137  0  0  0  
