
#S 1 M1 emission rates
#N 20
#L Z  TOTAL  M1M2  M1M3  M1M4  M1M5  M1N1  M1N2  M1N3  M1N4  M1N5  M1N6  M1N7  M1O1  M1O2  M1O3  M1O4  M1O5  M1P2  M1P3
60  0.003164  0.0098189  0.053049  2.0814e-005  2.697e-005  6.3774e-008  0.50303  0.30426  0.0012969  0.0012186  0  0  1.8928e-008  0.07912  0.048161  0  0  0  0  
61  0.0034648  0.0093223  0.053  2.0684e-005  2.6986e-005  6.821e-008  0.5047  0.30218  0.0013392  0.0012574  0  0  2.0107e-008  0.079947  0.048209  0  0  0  0  
62  0.0037656  0.0089051  0.052958  2.0575e-005  2.6999e-005  7.1937e-008  0.5061  0.30044  0.0013747  0.00129  0  0  2.1097e-008  0.080642  0.048249  0  0  0  0  
63  0.0040665  0.0085496  0.052923  2.0482e-005  2.7009e-005  7.5113e-008  0.50729  0.29895  0.001405  0.0013178  0  0  2.1941e-008  0.081233  0.048284  0  0  0  0  
64  0.0043673  0.008243  0.052893  2.0401e-005  2.7019e-005  7.7851e-008  0.50832  0.29766  0.0014311  0.0013418  2.7706e-006  2.7248e-006  2.2668e-008  0.081743  0.048313  0  0  0  0  
65  0.0048348  0.0077459  0.055018  2.108e-005  2.844e-005  9.7901e-008  0.51501  0.29267  0.0015426  0.0014409  3.2232e-006  3.1611e-006  2.7578e-008  0.080389  0.046124  0  0  0  0  
66  0.0053023  0.0073365  0.056768  2.1638e-005  2.961e-005  1.1442e-007  0.52053  0.28855  0.0016345  0.0015226  3.5959e-006  3.5205e-006  3.1622e-008  0.079274  0.044321  0  0  0  0  
67  0.0057698  0.0069934  0.058235  2.2107e-005  3.0591e-005  1.2826e-007  0.52515  0.28511  0.0017115  0.0015911  3.9083e-006  3.8217e-006  3.501e-008  0.07834  0.042809  0  0  0  0  
68  0.0062372  0.0067017  0.059482  2.2505e-005  3.1424e-005  1.4002e-007  0.52908  0.28218  0.001777  0.0016492  4.1739e-006  4.0777e-006  3.7891e-008  0.077545  0.041525  0  0  0  0  
69  0.0067047  0.0064507  0.060555  2.2847e-005  3.2142e-005  1.5014e-007  0.53246  0.27965  0.0018333  0.0016993  4.4024e-006  4.298e-006  4.037e-008  0.076862  0.040419  0  0  0  0  
70  0.0071722  0.0062324  0.061488  2.3145e-005  3.2766e-005  1.5895e-007  0.5354  0.27746  0.0018823  0.0017428  4.6011e-006  4.4896e-006  4.2525e-008  0.076267  0.039458  0  0  0  0  
71  0.0081194  0.0057245  0.065017  2.4706e-005  3.6e-005  2.1602e-007  0.53612  0.26554  0.0020432  0.0018819  6.1211e-006  5.9955e-006  6.5953e-008  0.082801  0.040803  0  0  0  0  
72  0.0090667  0.0053228  0.067808  2.5941e-005  3.8559e-005  2.6117e-007  0.53669  0.2561  0.0021706  0.0019919  7.3235e-006  7.1867e-006  8.4485e-008  0.08797  0.041867  0  0  0  0  
73  0.010014  0.004997  0.070072  2.6942e-005  4.0633e-005  2.9778e-007  0.53715  0.24845  0.0022738  0.0020811  8.2984e-006  8.1526e-006  9.9511e-008  0.092161  0.04273  0  0  0  0  
74  0.010961  0.0047276  0.071944  2.7771e-005  4.2349e-005  3.2806e-007  0.53753  0.24213  0.0023592  0.0021549  9.1048e-006  8.9515e-006  1.1194e-007  0.095628  0.043444  0  0  0  0  
75  0.011909  0.004501  0.073519  2.8467e-005  4.3792e-005  3.5353e-007  0.53785  0.2368  0.002431  0.0022169  9.7829e-006  9.6233e-006  1.2239e-007  0.098543  0.044044  0  0  0  0  
76  0.012856  0.0043078  0.074861  2.9061e-005  4.5022e-005  3.7524e-007  0.53812  0.23227  0.0024923  0.0022698  1.0361e-005  1.0196e-005  1.313e-007  0.10103  0.044556  0  0  0  0  
77  0.013803  0.0041411  0.076019  2.9573e-005  4.6084e-005  3.9397e-007  0.53836  0.22835  0.0025451  0.0023154  1.086e-005  1.069e-005  1.3899e-007  0.10317  0.044997  0  0  0  0  
78  0.01475  0.0039958  0.077029  3.002e-005  4.7009e-005  4.1029e-007  0.53856  0.22494  0.0025911  0.0023552  1.1295e-005  1.1121e-005  1.4569e-007  0.10504  0.045382  0  0  0  0  
79  0.015698  0.0038681  0.077916  3.0412e-005  4.7822e-005  4.2465e-007  0.53874  0.22194  0.0026316  0.0023902  1.1677e-005  1.15e-005  1.5158e-007  0.10668  0.04572  0  0  0  0  
80  0.016655  0.0037527  0.078657  3.0742e-005  4.8515e-005  4.3712e-007  0.53859  0.21916  0.0026659  0.0024197  1.2009e-005  1.1829e-005  1.5671e-007  0.10808  0.045993  0.00030922  0.0002738  0  0  
81  0.018765  0.0034504  0.086742  3.564e-005  5.8153e-005  6.1269e-007  0.53882  0.20443  0.0028687  0.0025809  1.5127e-005  1.4938e-005  2.4932e-007  0.11478  0.045429  0.00040952  0.0003641  0  0  
82  0.020875  0.0032092  0.093192  3.9547e-005  6.5843e-005  7.5276e-007  0.539  0.19269  0.0030305  0.0027095  1.7614e-005  1.7419e-005  3.2321e-007  0.12013  0.044978  0.00048955  0.00043615  0  0  
83  0.022985  0.0030123  0.098458  4.2737e-005  7.212e-005  8.6712e-007  0.53915  0.1831  0.0031626  0.0028145  1.9645e-005  1.9444e-005  3.8353e-007  0.1245  0.044611  0.00055487  0.00049497  0  0  
84  0.025095  0.0028485  0.10284  4.539e-005  7.7342e-005  9.6224e-007  0.53927  0.17512  0.0032725  0.0029019  2.1334e-005  2.1129e-005  4.337e-007  0.12813  0.044305  0.00060922  0.0005439  0  0  
85  0.027205  0.0027102  0.10654  4.7632e-005  8.1754e-005  1.0426e-006  0.53937  0.16838  0.0033653  0.0029757  2.2761e-005  2.2552e-005  4.7609e-007  0.1312  0.044047  0.00065513  0.00058523  0  0  
86  0.029316  0.0025917  0.10971  4.9551e-005  8.5531e-005  1.1114e-006  0.53946  0.16261  0.0034447  0.0030388  2.3983e-005  2.3771e-005  5.1238e-007  0.13382  0.043826  0.00069443  0.00062062  0  0  
87  0.031426  0.0024891  0.11245  5.1212e-005  8.88e-005  1.171e-006  0.53954  0.15761  0.0035135  0.0030935  2.5041e-005  2.4825e-005  5.438e-007  0.1361  0.043634  0.00072846  0.00065126  0  0  
88  0.033536  0.0023995  0.11485  5.2665e-005  9.1659e-005  1.223e-006  0.53961  0.15325  0.0035737  0.0031413  2.5965e-005  2.5747e-005  5.7126e-007  0.13808  0.043467  0.0007582  0.00067803  0  0  
89  0.035646  0.0023205  0.11696  5.3945e-005  9.4178e-005  1.2689e-006  0.53967  0.1494  0.0036267  0.0031834  2.678e-005  2.656e-005  5.9547e-007  0.13984  0.043319  0.00078442  0.00070164  0  0  
90  0.037756  0.0022503  0.11884  5.5082e-005  9.6416e-005  1.3097e-006  0.53972  0.14598  0.0036738  0.0032209  2.7504e-005  2.7282e-005  6.1698e-007  0.14139  0.043188  0.00080771  0.00072261  0  0  
91  0.039866  0.0021875  0.12052  5.6099e-005  9.8417e-005  1.3462e-006  0.53977  0.14292  0.0037159  0.0032543  2.8152e-005  2.7928e-005  6.362e-007  0.14278  0.043071  0.00082854  0.00074136  0  0  
92  0.041976  0.002131  0.12203  5.7014e-005  0.00010022  1.3789e-006  0.53981  0.14017  0.0037538  0.0032844  2.8734e-005  2.8509e-005  6.535e-007  0.14404  0.042965  0.00084727  0.00075823  0  0  
93  0.045556  0.0020129  0.11941  5.5976e-005  9.8561e-005  1.3632e-006  0.52244  0.13324  0.0036658  0.0032049  2.8317e-005  2.8098e-005  6.4756e-007  0.14049  0.041488  0.00083634  0.00074854  0.025244  0.0070024  
94  0.045556  0.0020129  0.11941  5.5976e-005  9.8561e-005  1.3632e-006  0.52244  0.13324  0.0036658  0.0032049  2.8317e-005  2.8098e-005  6.4756e-007  0.14049  0.041488  0.00083634  0.00074854  0.025244  0.0070024  
95  0.045556  0.0020129  0.11941  5.5976e-005  9.8561e-005  1.3632e-006  0.52244  0.13324  0.0036658  0.0032049  2.8317e-005  2.8098e-005  6.4756e-007  0.14049  0.041488  0.00083634  0.00074854  0.025244  0.0070024  
96  0.045556  0.0020129  0.11941  5.5976e-005  9.8561e-005  1.3632e-006  0.52244  0.13324  0.0036658  0.0032049  2.8317e-005  2.8098e-005  6.4756e-007  0.14049  0.041488  0.00083634  0.00074854  0.025244  0.0070024  
97  0.045556  0.0020129  0.11941  5.5976e-005  9.8561e-005  1.3632e-006  0.52244  0.13324  0.0036658  0.0032049  2.8317e-005  2.8098e-005  6.4756e-007  0.14049  0.041488  0.00083634  0.00074854  0.025244  0.0070024  
98  0.045556  0.0020129  0.11941  5.5976e-005  9.8561e-005  1.3632e-006  0.52244  0.13324  0.0036658  0.0032049  2.8317e-005  2.8098e-005  6.4756e-007  0.14049  0.041488  0.00083634  0.00074854  0.025244  0.0070024  
99  0.045556  0.0020129  0.11941  5.5976e-005  9.8561e-005  1.3632e-006  0.52244  0.13324  0.0036658  0.0032049  2.8317e-005  2.8098e-005  6.4756e-007  0.14049  0.041488  0.00083634  0.00074854  0.025244  0.0070024  
100  0.045556  0.0020129  0.11941  5.5976e-005  9.8561e-005  1.3632e-006  0.52244  0.13324  0.0036658  0.0032049  2.8317e-005  2.8098e-005  6.4756e-007  0.14049  0.041488  0.00083634  0.00074854  0.025244  0.0070024  
101  0.045556  0.0020129  0.11941  5.5976e-005  9.8561e-005  1.3632e-006  0.52244  0.13324  0.0036658  0.0032049  2.8317e-005  2.8098e-005  6.4756e-007  0.14049  0.041488  0.00083634  0.00074854  0.025244  0.0070024  
102  0.045556  0.0020129  0.11941  5.5976e-005  9.8561e-005  1.3632e-006  0.52244  0.13324  0.0036658  0.0032049  2.8317e-005  2.8098e-005  6.4756e-007  0.14049  0.041488  0.00083634  0.00074854  0.025244  0.0070024  
103  0.045556  0.0020129  0.11941  5.5976e-005  9.8561e-005  1.3632e-006  0.52244  0.13324  0.0036658  0.0032049  2.8317e-005  2.8098e-005  6.4756e-007  0.14049  0.041488  0.00083634  0.00074854  0.025244  0.0070024  
104  0.045556  0.0020129  0.11941  5.5976e-005  9.8561e-005  1.3632e-006  0.52244  0.13324  0.0036658  0.0032049  2.8317e-005  2.8098e-005  6.4756e-007  0.14049  0.041488  0.00083634  0.00074854  0.025244  0.0070024  
105  0.045556  0.0020129  0.11941  5.5976e-005  9.8561e-005  1.3632e-006  0.52244  0.13324  0.0036658  0.0032049  2.8317e-005  2.8098e-005  6.4756e-007  0.14049  0.041488  0.00083634  0.00074854  0.025244  0.0070024  
106  0.045556  0.0020129  0.11941  5.5976e-005  9.8561e-005  1.3632e-006  0.52244  0.13324  0.0036658  0.0032049  2.8317e-005  2.8098e-005  6.4756e-007  0.14049  0.041488  0.00083634  0.00074854  0.025244  0.0070024  
107  0.045556  0.0020129  0.11941  5.5976e-005  9.8561e-005  1.3632e-006  0.52244  0.13324  0.0036658  0.0032049  2.8317e-005  2.8098e-005  6.4756e-007  0.14049  0.041488  0.00083634  0.00074854  0.025244  0.0070024  
108  0.045556  0.0020129  0.11941  5.5976e-005  9.8561e-005  1.3632e-006  0.52244  0.13324  0.0036658  0.0032049  2.8317e-005  2.8098e-005  6.4756e-007  0.14049  0.041488  0.00083634  0.00074854  0.025244  0.0070024  
109  0.045556  0.0020129  0.11941  5.5976e-005  9.8561e-005  1.3632e-006  0.52244  0.13324  0.0036658  0.0032049  2.8317e-005  2.8098e-005  6.4756e-007  0.14049  0.041488  0.00083634  0.00074854  0.025244  0.0070024  

#S 2 M2 emission rates
#N 20
#L Z  TOTAL  M2M3  M2M4  M2M5  M2N1  M2N2  M2N3  M2N4  M2N5  M2N6  M2N7  M2O1  M2O2  M2O3  M2O4  M2O5  M2O6  M2P1  M2P4
1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
6  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
7  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
8  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
9  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
10  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
11  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
12  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
13  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
14  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
15  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
16  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
17  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
18  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
19  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
20  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
21  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
22  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
23  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
24  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
25  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
26  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
27  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
28  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
29  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
30  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
31  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
32  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
33  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
34  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
35  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
36  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
37  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
38  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
39  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
