#F MShellConstants.dat
#U00 References:
#U01 M.H. Chen, B. Crasemann, H. Mark 
#U02      Relativistic M-shell radiationless transitions
#U03      Physical Review A volume 21 number 2 (1980) 449-453.
#U04 M.H. Chen, B. Crasemann, H. Mark 
#U05      Radiationless transitions to atomic M1,2,3 shells:
#U06      Results of relativistic theory
#U07      Physical Review A volume 27 number 6 (1983) 2989-2994.
#U08 Widths are given in eV
#U09

#S 1 M1 x-ray data
#N 7
#L Z  f12  f13  f14  f15  omegaM1  gammaM1
50  0  0  0  0  0  
51  0  0  0  0  0  
52  0  0  0  0  0  
53  0  0  0  0  0  
54  0  0  0  0  0  
55  0  0  0  0  0  
56  0  0  0  0  0  
57  0  0  0  0  0  
58  0  0  0  0  0  
59  0  0  0  0  0  
60  0  0  0  0  0  
61  0  0  0  0  0  
62  0  0  0  0  0  
63  0  0  0  0  0  
64  0  0  0  0  0  
65  0  0  0  0  0  
66  0  0  0  0  0  
67  0.099  0.691  0.136  0.00172  9.5  
68  0.10267  0.705  0.13333  0.0018167  9.76  
69  0.10633  0.719  0.13067  0.0019133  10.02  
70  0.11  0.733  0.128  0.00201  10.28  
71  0.10875  0.7265  0.12475  0.0021375  10.685  
72  0.1075  0.72  0.1215  0.002265  11.09  
73  0.10625  0.7135  0.11825  0.0023925  11.495  
74  0.105  0.707  0.115  0.00252  11.9  
75  0.1055  0.702  0.11325  0.002685  12.223  
76  0.106  0.697  0.1115  0.00285  12.545  
77  0.1065  0.692  0.10975  0.003015  12.868  
78  0.107  0.687  0.108  0.00318  13.19  
79  0.106  0.6875  0.1075  0.00343  13.41  
80  0.105  0.688  0.107  0.00368  13.63  
81  0.1052  0.6852  0.108  0.004012  13.638  
82  0.1054  0.6824  0.109  0.004344  13.646  
83  0.1056  0.6796  0.11  0.004676  13.654  
84  0.1058  0.6768  0.111  0.005008  13.662  
85  0.106  0.674  0.112  0.00534  13.67  
86  0.10467  0.67133  0.11167  0.0056867  13.867  
87  0.10333  0.66867  0.11133  0.0060333  14.063  
88  0.102  0.666  0.111  0.00638  14.26  
89  0.102  0.6645  0.1125  0.006845  14.385  
90  0.102  0.663  0.114  0.00731  14.51  
91  0.102  0.661  0.1135  0.007845  14.595  
92  0.102  0.659  0.113  0.00838  14.68  
93  0.10333  0.65667  0.11267  0.00886  14.88  
94  0.10467  0.65433  0.11233  0.00934  15.08  
95  0.106  0.652  0.112  0.00982  15.28  
96  0.106  0.652  0.112  0.00982  15.28  
97  0.106  0.652  0.112  0.00982  15.28  
98  0.106  0.652  0.112  0.00982  15.28  
99  0.106  0.652  0.112  0.00982  15.28  
100  0.106  0.652  0.112  0.00982  15.28  
101  0.106  0.652  0.112  0.00982  15.28  
102  0.106  0.652  0.112  0.00982  15.28  
103  0.106  0.652  0.112  0.00982  15.28  
104  0.106  0.652  0.112  0.00982  15.28  
105  0.106  0.652  0.112  0.00982  15.28  
106  0.106  0.652  0.112  0.00982  15.28  
107  0.106  0.652  0.112  0.00982  15.28  
108  0.106  0.652  0.112  0.00982  15.28  
109  0.106  0.652  0.112  0.00982  15.28  

#S 3 M3 x-ray data
#N 5
#L Z  f34  f35  omegaM3  gammaM3
1  0  0  0  0  
2  0  0  0  0  
3  0  0  0  0  
4  0  0  0  0  
5  0  0  0  0  
6  0  0  0  0  
7  0  0  0  0  
8  0  0  0  0  
9  0  0  0  0  
10  0  0  0  0  
11  0  0  0  0  
12  0  0  0  0  
13  0  0  0  0  
14  0  0  0  0  
15  0  0  0  0  
16  0  0  0  0  
17  0  0  0  0  
18  0  0  0  0  
19  0  0  0  0  
20  0  0  0  0  
21  0  0  0  0  
22  0  0  0  0  
23  0  0  0  0  
24  0  0  0  0  
25  0  0  0  0  
26  0  0  0  0  
27  0  0  0  0  
28  0  0  0  0  
29  0  0  0  0  
30  0  0  0  0  
31  0  0  0  0  
32  0  0  0  0  
33  0  0  0  0  
34  0  0  0  0  
35  0  0  0  0  
36  0  0  0  0  
37  0  0  0  0  
38  0  0  0  0  
39  0  0  0  0  
40  0  0  0  0  
41  0  0  0  0  
42  0  0  0  0  
43  0  0  0  0  
44  0  0  0  0  
45  0  0  0  0  
46  0  0  0  0  
47  0  0  0  0  
48  0  0  0  0  
49  0  0  0  0  
50  0  0  0  0  
51  0  0  0  0  
52  0  0  0  0  
53  0  0  0  0  
54  0  0  0  0  
55  0  0  0  0  
56  0  0  0  0  
57  0  0  0  0  
58  0  0  0  0  
59  0  0  0  0  
60  0  0  0  0  
61  0  0  0  0  
62  0  0  0  0  
63  0  0  0  0  
64  0  0  0  0  
65  0  0  0  0  
66  0  0  0  0  
67  0.144  0.755  0.00168  9.84  
68  0.14567  0.74867  0.0018367  9.8833  
69  0.14733  0.74233  0.0019933  9.9267  
70  0.149  0.736  0.00215  9.97  
71  0.13325  0.748  0.0023475  10.118  
72  0.1175  0.76  0.002545  10.265  
73  0.10175  0.772  0.0027425  10.413  
74  0.086  0.784  0.00294  10.56  
75  0.08975  0.7715  0.003355  10.365  
76  0.0935  0.759  0.00377  10.17  
77  0.09725  0.7465  0.004185  9.975  
78  0.101  0.734  0.0046  9.78  
79  0.1005  0.7325  0.004935  10  
80  0.1  0.731  0.00527  10.22  
81  0.0938  0.7332  0.005694  10.368  
82  0.0876  0.7354  0.006118  10.516  
83  0.0814  0.7376  0.006542  10.664  
84  0.0752  0.7398  0.006966  10.812  
85  0.069  0.742  0.00739  10.96  
86  0.07  0.73367  0.0081133  10.897  
87  0.071  0.72533  0.0088367  10.833  
88  0.072  0.717  0.00956  10.77  
89  0.075  0.7015  0.01058  10.43  
90  0.078  0.686  0.0116  10.09  
91  0.0765  0.6845  0.0123  10.23  
92  0.075  0.683  0.013  10.37  
93  0.072333  0.68167  0.0138  10.587  
94  0.069667  0.68033  0.0146  10.803  
95  0.067  0.679  0.0154  11.02  
96  0.067  0.679  0.0154  11.02  
97  0.067  0.679  0.0154  11.02  
98  0.067  0.679  0.0154  11.02  
99  0.067  0.679  0.0154  11.02  
100  0.067  0.679  0.0154  11.02  
101  0.067  0.679  0.0154  11.02  
102  0.067  0.679  0.0154  11.02  
103  0.067  0.679  0.0154  11.02  
104  0.067  0.679  0.0154  11.02  
105  0.067  0.679  0.0154  11.02  
106  0.067  0.679  0.0154  11.02  
107  0.067  0.679  0.0154  11.02  
108  0.067  0.679  0.0154  11.02  
109  0.067  0.679  0.0154  11.02  

#S 4 M4 x-ray data
#N 5
#L Z  gammaAM4  gammaM4  f45  omegaM4
1  0  0  0  0  
2  0  0  0  0  
3  0  0  0  0  
4  0  0  0  0  
5  0  0  0  0  
6  0  0  0  0  
7  0  0  0  0  
8  0  0  0  0  
9  0  0  0  0  
